,TEAM_ABBREVIATION,GAME_ID,GAME_DATE,PTS,TOV,PF,At Home,FGA,FGM,FG3A,FG3M,FTA,FTM,OREB,DREB,AST,STL,BLK,Opponent,Opponent PTS,Opponent FGM,Opponent FGA,Opponent FG_PCT,Opponent FG3M,Opponent FG3A,Opponent FG3_PCT,Opponent FTM,Opponent FTA,Opponent FT_PCT,Opponent OREB,Opponent DREB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,SEASON,Opponent Win,Win,offensiveRating,defensiveRating,possessions,assistToTurnover,offensiveReboundPercentage,defensiveReboundPercentage,Opponent teamTricode,Opponent offensiveRating,Opponent defensiveRating,Opponent possessions,Opponent assistToTurnover,Opponent offensiveReboundPercentage,Opponent defensiveReboundPercentage
0,GSW,0021800002,2018-10-16,108,21,29,1,95,42,26,7,18,17,17,41,28,7,7,OKC,100,33,91,0.363,10,37,0.27,24,37,0.649,16,29,21,12,6,14,21,2018-19,0,1,104.9,97.1,103.0,1.33,0.415,0.652,OKC,97.1,104.9,103.0,1.4,0.348,0.585
0,OKC,0021800002,2018-10-16,100,14,21,0,91,33,37,10,37,24,16,29,21,12,6,GSW,108,42,95,0.442,7,26,0.269,17,18,0.944,17,41,28,7,7,21,29,2018-19,1,0,97.1,104.9,103.0,1.4,0.348,0.585,GSW,104.9,97.1,103.0,1.33,0.415,0.652
0,BOS,0021800001,2018-10-16,105,14,20,1,97,42,37,11,14,10,12,43,21,7,5,PHI,87,34,87,0.391,5,26,0.192,14,23,0.609,6,41,18,8,5,16,20,2018-19,0,1,100.0,82.1,105.0,1.4,0.25,0.825,PHI,82.1,100.0,106.0,1.13,0.175,0.75
0,PHI,0021800001,2018-10-16,87,16,20,0,87,34,26,5,23,14,6,41,18,8,5,BOS,105,42,97,0.433,11,37,0.297,10,14,0.714,12,43,21,7,5,14,20,2018-19,1,0,82.1,100.0,106.0,1.13,0.175,0.75,BOS,100.0,82.1,105.0,1.4,0.25,0.825
0,IND,0021800005,2018-10-17,111,20,24,1,83,47,26,10,13,7,13,44,29,2,7,MEM,83,25,84,0.298,10,29,0.345,23,28,0.821,7,21,16,11,3,7,18,2018-19,0,1,115.6,87.4,96.0,1.45,0.436,0.758,MEM,87.4,115.6,95.0,1.6,0.242,0.564
0,NYK,0021800007,2018-10-17,126,15,23,1,99,45,33,12,31,24,10,36,21,12,6,ATL,107,41,90,0.456,10,36,0.278,15,18,0.833,7,38,19,7,3,24,30,2018-19,0,1,112.5,94.7,112.0,1.31,0.31,0.765,ATL,94.7,112.5,113.0,0.79,0.235,0.69
0,BKN,0021800004,2018-10-17,100,17,23,0,82,40,27,5,22,15,5,34,28,9,5,DET,103,39,92,0.424,6,24,0.25,19,22,0.864,14,32,21,5,5,14,20,2018-19,1,0,99.0,103.0,101.0,1.47,0.261,0.655,DET,103.0,99.0,100.0,1.24,0.345,0.739
0,ORL,0021800006,2018-10-17,104,12,25,1,94,39,25,7,31,19,14,37,20,7,7,MIA,101,38,97,0.392,9,33,0.273,16,22,0.727,14,38,16,4,5,16,28,2018-19,0,1,101.0,98.1,103.0,1.67,0.322,0.645,MIA,98.1,101.0,103.0,0.94,0.355,0.678
0,CHA,0021800003,2018-10-17,112,11,19,1,92,41,38,16,22,14,9,32,21,8,9,MIL,113,42,85,0.494,14,34,0.412,15,20,0.75,11,46,26,5,4,21,25,2018-19,1,0,107.7,109.7,104.0,1.91,0.193,0.696,MIL,109.7,107.7,103.0,1.24,0.304,0.807
0,CLE,0021800008,2018-10-17,104,16,25,0,85,34,19,7,39,29,14,35,17,4,0,TOR,116,45,92,0.489,14,33,0.424,12,20,0.6,8,35,21,6,7,9,29,2018-19,1,0,104.0,116.0,100.0,1.06,0.362,0.788,TOR,116.0,104.0,100.0,2.1,0.212,0.638
0,MIA,0021800006,2018-10-17,101,16,28,0,97,38,33,9,22,16,14,38,16,4,5,ORL,104,39,94,0.415,7,25,0.28,19,31,0.613,14,37,20,7,7,12,25,2018-19,1,0,98.1,101.0,103.0,0.94,0.355,0.678,ORL,101.0,98.1,103.0,1.67,0.322,0.645
0,MIL,0021800003,2018-10-17,113,21,25,0,85,42,34,14,20,15,11,46,26,5,4,CHA,112,41,92,0.446,16,38,0.421,14,22,0.636,9,32,21,8,9,11,19,2018-19,0,1,109.7,107.7,103.0,1.24,0.304,0.807,CHA,107.7,109.7,104.0,1.91,0.193,0.696
0,ATL,0021800007,2018-10-17,107,24,30,0,90,41,36,10,18,15,7,38,19,7,3,NYK,126,45,99,0.455,12,33,0.364,24,31,0.774,10,36,21,12,6,15,23,2018-19,1,0,94.7,112.5,113.0,0.79,0.235,0.69,NYK,112.5,94.7,112.0,1.31,0.31,0.765
0,DET,0021800004,2018-10-17,103,14,20,1,92,39,24,6,22,19,14,32,21,5,5,BKN,100,40,82,0.488,5,27,0.185,15,22,0.682,5,34,28,9,5,17,23,2018-19,0,1,103.0,99.0,100.0,1.24,0.345,0.739,BKN,99.0,103.0,101.0,1.47,0.261,0.655
0,MEM,0021800005,2018-10-17,83,7,18,0,84,25,29,10,28,23,7,21,16,11,3,IND,111,47,83,0.566,10,26,0.385,7,13,0.538,13,44,29,2,7,20,24,2018-19,1,0,87.4,115.6,95.0,1.6,0.242,0.564,IND,115.6,87.4,96.0,1.45,0.436,0.758
0,MIN,0021800010,2018-10-17,108,11,27,0,91,39,19,6,27,24,14,32,20,9,2,SAS,112,40,93,0.43,11,25,0.44,21,29,0.724,19,33,22,3,4,12,22,2018-19,1,0,112.5,114.3,96.0,1.82,0.34,0.571,SAS,114.3,112.5,98.0,1.83,0.429,0.66
0,LAC,0021800012,2018-10-17,98,12,32,1,88,35,28,8,24,20,9,38,21,3,9,DEN,107,33,87,0.379,8,24,0.333,33,42,0.786,14,42,20,6,9,10,22,2018-19,1,0,93.3,102.9,105.0,1.5,0.2,0.702,DEN,102.9,93.3,104.0,1.82,0.298,0.8
0,PHX,0021800013,2018-10-17,121,11,22,1,81,44,34,19,16,14,6,38,35,5,2,DAL,100,38,88,0.432,10,33,0.303,14,20,0.7,10,28,28,7,5,9,16,2018-19,0,1,127.4,105.3,95.0,2.92,0.162,0.755,DAL,105.3,127.4,95.0,3.11,0.245,0.838
0,HOU,0021800009,2018-10-17,112,11,22,1,92,39,48,16,24,18,8,29,21,8,7,NOP,131,52,98,0.531,10,25,0.4,17,22,0.773,14,40,36,8,3,12,25,2018-19,1,0,107.7,124.8,104.0,1.75,0.222,0.653,NOP,124.8,107.7,105.0,3.0,0.347,0.778
0,DAL,0021800013,2018-10-17,100,9,16,0,88,38,33,10,20,14,10,28,28,7,5,PHX,121,44,81,0.543,19,34,0.559,14,16,0.875,6,38,35,5,2,11,22,2018-19,1,0,105.3,127.4,95.0,3.11,0.245,0.838,PHX,127.4,105.3,95.0,2.92,0.162,0.755
0,SAC,0021800011,2018-10-17,117,9,27,1,95,49,19,7,18,12,5,32,17,8,3,UTA,123,41,79,0.519,13,27,0.481,28,38,0.737,5,39,21,8,4,17,19,2018-19,1,0,109.3,115.0,107.0,1.89,0.143,0.795,UTA,115.0,109.3,107.0,1.24,0.205,0.857
0,NOP,0021800009,2018-10-17,131,12,25,0,98,52,25,10,22,17,14,40,36,8,3,HOU,112,39,92,0.424,16,48,0.333,18,24,0.75,8,29,21,8,7,11,22,2018-19,0,1,124.8,107.7,105.0,3.0,0.347,0.778,HOU,107.7,124.8,104.0,1.75,0.222,0.653
0,SAS,0021800010,2018-10-17,112,12,22,1,93,40,25,11,29,21,19,33,22,3,4,MIN,108,39,91,0.429,6,19,0.316,24,27,0.889,14,32,20,9,2,11,27,2018-19,0,1,114.3,112.5,98.0,1.83,0.429,0.66,MIN,112.5,114.3,96.0,1.82,0.34,0.571
0,UTA,0021800011,2018-10-17,123,17,19,0,79,41,27,13,38,28,5,39,21,8,4,SAC,117,49,95,0.516,7,19,0.368,12,18,0.667,5,32,17,8,3,9,27,2018-19,0,1,115.0,109.3,107.0,1.24,0.205,0.857,SAC,109.3,115.0,107.0,1.89,0.143,0.795
0,TOR,0021800008,2018-10-17,116,9,29,1,92,45,33,14,20,12,8,35,21,6,7,CLE,104,34,85,0.4,7,19,0.368,29,39,0.744,14,35,17,4,0,16,25,2018-19,0,1,116.0,104.0,100.0,2.1,0.212,0.638,CLE,104.0,116.0,100.0,1.06,0.362,0.788
0,DEN,0021800012,2018-10-17,107,10,22,0,87,33,24,8,42,33,14,42,20,6,9,LAC,98,35,88,0.398,8,28,0.286,20,24,0.833,9,38,21,3,9,12,32,2018-19,0,1,102.9,93.3,104.0,1.82,0.298,0.8,LAC,93.3,102.9,105.0,1.5,0.2,0.702
