,TEAM_ABBREVIATION,GAME_ID,GAME_DATE,PTS,TOV,PF,At Home,FGA,FGM,FG3A,FG3M,FTA,FTM,OREB,DREB,AST,STL,BLK,Opponent,Opponent PTS,Opponent FGM,Opponent FGA,Opponent FG_PCT,Opponent FG3M,Opponent FG3A,Opponent FG3_PCT,Opponent FTM,Opponent FTA,Opponent FT_PCT,Opponent OREB,Opponent DREB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,SEASON,Opponent Win,Win,offensiveRating,defensiveRating,possessions,assistToTurnover,offensiveReboundPercentage,defensiveReboundPercentage,Opponent teamTricode,Opponent offensiveRating,Opponent defensiveRating,Opponent possessions,Opponent assistToTurnover,Opponent offensiveReboundPercentage,Opponent defensiveReboundPercentage
0,LAL,0022100002,2021-10-19,114,17,25,1,95,45,42,15,19,9,5,40,21,7,4,GSW,121,41,93,0.441,14,39,0.359,25,30,0.833,9,41,30,9,2,17,18,2021-22,1,0,101.8,107.1,112.0,1.17,0.189,0.759,GSW,107.1,101.8,113.0,1.76,0.241,0.811
0,GSW,0022100002,2021-10-19,121,17,18,0,93,41,39,14,30,25,9,41,30,9,2,LAL,114,45,95,0.474,15,42,0.357,9,19,0.474,5,40,21,7,4,17,25,2021-22,0,1,107.1,101.8,113.0,1.76,0.241,0.811,LAL,101.8,107.1,112.0,1.17,0.189,0.759
0,MIL,0022100001,2021-10-19,127,7,19,1,105,48,45,17,18,14,13,41,25,8,9,BKN,104,37,84,0.44,17,32,0.531,13,23,0.565,5,39,19,3,9,12,17,2021-22,0,1,124.5,102.0,102.0,3.13,0.293,0.824,BKN,102.0,124.5,102.0,1.46,0.176,0.707
0,BKN,0022100001,2021-10-19,104,12,17,0,84,37,32,17,23,13,5,39,19,3,9,MIL,127,48,105,0.457,17,45,0.378,14,18,0.778,13,41,25,8,9,7,19,2021-22,1,0,102.0,124.5,102.0,1.46,0.176,0.707,MIL,124.5,102.0,102.0,3.13,0.293,0.824
0,DEN,0022100012,2021-10-20,110,17,20,0,83,44,39,17,9,5,6,40,25,9,1,PHX,98,36,87,0.414,14,37,0.378,12,17,0.706,11,34,23,9,3,18,18,2021-22,0,1,108.9,97.0,101.0,1.32,0.171,0.741,PHX,97.0,108.9,101.0,1.28,0.259,0.829
0,DET,0022100004,2021-10-20,88,16,16,1,90,36,28,6,13,10,11,36,17,7,5,CHI,94,37,86,0.43,7,23,0.304,13,15,0.867,9,39,18,8,5,17,19,2021-22,1,0,89.8,95.9,98.0,1.0,0.263,0.74,CHI,95.9,89.8,98.0,1.06,0.26,0.737
0,MEM,0022100007,2021-10-20,132,10,15,1,100,53,33,14,12,12,13,40,28,8,8,CLE,121,47,93,0.505,14,38,0.368,13,18,0.722,7,29,38,6,5,10,17,2021-22,0,1,125.7,116.3,105.0,2.33,0.34,0.837,CLE,116.3,125.7,104.0,3.45,0.163,0.66
0,CHA,0022100003,2021-10-20,123,8,21,1,107,46,31,13,27,18,12,34,29,9,5,IND,122,42,90,0.467,17,47,0.362,21,24,0.875,8,43,29,2,10,16,24,2021-22,0,1,116.0,114.0,106.0,3.63,0.333,0.745,IND,114.0,116.0,107.0,1.71,0.255,0.667
0,NOP,0022100009,2021-10-20,97,13,16,1,93,39,30,13,9,6,10,34,28,5,6,PHI,117,44,85,0.518,13,25,0.52,16,20,0.8,6,41,24,9,5,12,11,2021-22,1,0,98.0,118.2,99.0,2.0,0.236,0.795,PHI,118.2,98.0,99.0,1.85,0.205,0.764
0,NYK,0022100005,2021-10-20,138,17,22,1,105,51,45,17,27,19,7,48,27,9,10,BOS,134,48,117,0.41,21,57,0.368,17,23,0.739,15,41,34,13,9,18,24,2021-22,0,1,110.4,108.1,125.0,1.42,0.281,0.704,BOS,108.1,110.4,124.0,1.89,0.296,0.719
