,TEAM_ABBREVIATION,GAME_ID,GAME_DATE,PTS,TOV,PF,At Home,FGA,FGM,FG3A,FG3M,FTA,FTM,OREB,DREB,AST,STL,BLK,Opponent,Opponent PTS,Opponent FGM,Opponent FGA,Opponent FG_PCT,Opponent FG3M,Opponent FG3A,Opponent FG3_PCT,Opponent FTM,Opponent FTA,Opponent FT_PCT,Opponent OREB,Opponent DREB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,SEASON,Opponent Win,Win,offensiveRating,defensiveRating,possessions,assistToTurnover,offensiveReboundPercentage,defensiveReboundPercentage,Opponent teamTricode,Opponent offensiveRating,Opponent defensiveRating,Opponent possessions,Opponent assistToTurnover,Opponent offensiveReboundPercentage,Opponent defensiveReboundPercentage
0,HOU,0021700002,2017-10-17,122,12,16,0,97,47,41,15,19,13,10,33,28,9,5,GSW,121,43,80,0.538,16,30,0.533,19,21,0.905,6,35,34,5,9,17,25,2017-18,0,1,120.8,119.8,101.0,2.15,0.333,0.846,GSW,119.8,120.8,101.0,2.0,0.154,0.667
0,GSW,0021700002,2017-10-17,121,17,25,1,80,43,30,16,21,19,6,35,34,5,9,HOU,122,47,97,0.485,15,41,0.366,13,19,0.684,10,33,28,9,5,12,16,2017-18,1,0,119.8,120.8,101.0,2.0,0.154,0.667,HOU,120.8,119.8,101.0,2.15,0.333,0.846
0,BOS,0021700001,2017-10-17,99,10,24,0,88,36,32,8,25,19,9,37,24,11,4,CLE,102,38,83,0.458,5,22,0.227,21,25,0.84,9,41,19,3,4,17,25,2017-18,1,0,100.0,104.1,99.0,2.0,0.232,0.771,CLE,104.1,100.0,98.0,1.12,0.229,0.768
0,CLE,0021700001,2017-10-17,102,17,25,1,83,38,22,5,25,21,9,41,19,3,4,BOS,99,36,88,0.409,8,32,0.25,19,25,0.76,9,37,24,11,4,10,24,2017-18,0,1,104.1,100.0,98.0,1.12,0.229,0.768,BOS,100.0,104.1,99.0,2.0,0.232,0.771
0,SAS,0021700011,2017-10-18,107,11,18,1,89,41,21,8,19,17,12,38,22,8,11,MIN,99,37,85,0.435,8,19,0.421,17,23,0.739,11,31,23,7,4,13,16,2017-18,0,1,111.5,104.2,96.0,2.0,0.347,0.76,MIN,104.2,111.5,95.0,1.77,0.24,0.653
0,WAS,0021700006,2017-10-18,120,9,20,1,97,42,22,6,38,30,16,36,21,8,10,PHI,115,43,93,0.462,15,35,0.429,14,19,0.737,11,37,25,6,6,17,28,2017-18,0,1,112.1,108.5,107.0,2.1,0.328,0.731,PHI,108.5,112.1,106.0,1.47,0.269,0.672
0,DET,0021700003,2017-10-18,102,8,21,1,96,41,26,9,12,11,9,38,24,14,3,CHA,90,29,73,0.397,9,30,0.3,23,29,0.793,3,44,16,4,3,17,15,2017-18,0,1,103.0,90.9,99.0,2.67,0.196,0.848,CHA,90.9,103.0,99.0,0.94,0.152,0.804
0,IND,0021700004,2017-10-18,140,14,25,1,102,53,34,9,32,25,14,33,29,12,9,BKN,131,45,94,0.479,12,30,0.4,29,32,0.906,11,32,22,7,2,20,25,2017-18,0,1,119.7,113.9,117.0,2.07,0.37,0.686,BKN,113.9,119.7,115.0,1.1,0.314,0.63
0,MIL,0021700007,2017-10-18,108,15,22,0,76,38,21,7,30,25,6,39,19,6,4,BOS,100,39,91,0.429,11,28,0.393,11,21,0.524,11,32,23,12,2,12,27,2017-18,0,1,108.0,99.0,100.0,1.27,0.175,0.707,BOS,99.0,108.0,101.0,1.53,0.293,0.825
0,BKN,0021700004,2017-10-18,131,20,25,0,94,45,30,12,32,29,11,32,22,7,2,IND,140,53,102,0.52,9,34,0.265,25,32,0.781,14,33,29,12,9,14,25,2017-18,1,0,113.9,119.7,115.0,1.1,0.314,0.63,IND,119.7,113.9,117.0,2.07,0.37,0.686
0,PHI,0021700006,2017-10-18,115,17,28,0,93,43,35,15,19,14,11,37,25,6,6,WAS,120,42,97,0.433,6,22,0.273,30,38,0.789,16,36,21,8,10,9,20,2017-18,1,0,108.5,112.1,106.0,1.47,0.269,0.672,WAS,112.1,108.5,107.0,2.1,0.328,0.731
0,POR,0021700012,2017-10-18,124,16,20,0,90,44,24,14,28,22,15,42,22,8,7,PHX,76,28,89,0.315,7,27,0.259,13,18,0.722,10,23,10,9,8,16,22,2017-18,0,1,122.8,76.0,101.0,1.22,0.468,0.742,PHX,76.0,122.8,100.0,0.63,0.258,0.532
0,ORL,0021700005,2017-10-18,116,14,18,1,90,43,21,8,29,22,11,39,22,8,9,MIA,109,44,101,0.436,8,30,0.267,13,17,0.765,11,33,27,6,4,13,20,2017-18,0,1,111.5,103.8,104.0,1.47,0.314,0.678,MIA,103.8,111.5,105.0,2.08,0.322,0.686
0,ATL,0021700009,2017-10-18,117,13,18,0,94,48,18,9,15,12,14,36,20,11,6,DAL,111,38,86,0.442,17,45,0.378,18,21,0.857,9,32,27,5,4,15,19,2017-18,0,1,114.7,109.9,102.0,1.54,0.306,0.796,DAL,109.9,114.7,101.0,1.69,0.204,0.694
0,DAL,0021700009,2017-10-18,111,15,19,1,86,38,45,17,21,18,9,32,27,5,4,ATL,117,48,94,0.511,9,18,0.5,12,15,0.8,14,36,20,11,6,13,18,2017-18,1,0,109.9,114.7,101.0,1.69,0.204,0.694,ATL,114.7,109.9,102.0,1.54,0.306,0.796
0,BOS,0021700007,2017-10-18,100,12,27,1,91,39,28,11,21,11,11,32,23,12,2,MIL,108,38,76,0.5,7,21,0.333,25,30,0.833,6,39,19,6,4,15,22,2017-18,1,0,99.0,108.0,101.0,1.53,0.293,0.825,MIL,108.0,99.0,100.0,1.27,0.175,0.707
0,SAC,0021700013,2017-10-18,100,17,20,1,88,42,23,8,10,8,9,33,19,5,4,HOU,105,33,83,0.398,12,45,0.267,27,29,0.931,12,32,19,7,3,14,14,2017-18,1,0,100.0,106.1,100.0,1.06,0.292,0.686,HOU,106.1,100.0,99.0,1.19,0.314,0.708
0,MEM,0021700008,2017-10-18,103,11,29,1,92,39,29,9,28,16,15,30,19,9,8,NOP,91,30,79,0.38,7,25,0.28,24,29,0.828,16,35,15,4,12,17,31,2017-18,0,1,106.2,95.8,97.0,1.58,0.393,0.653,NOP,95.8,106.2,95.0,0.83,0.347,0.607
