,TEAM_ABBREVIATION,GAME_ID,GAME_DATE,PTS,TOV,PF,At Home,FGA,FGM,FG3A,FG3M,FTA,FTM,OREB,DREB,AST,STL,BLK,Opponent,Opponent PTS,Opponent FGM,Opponent FGA,Opponent FG_PCT,Opponent FG3M,Opponent FG3A,Opponent FG3_PCT,Opponent FTM,Opponent FTA,Opponent FT_PCT,Opponent OREB,Opponent DREB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,SEASON,Opponent Win,Win,offensiveRating,defensiveRating,possessions,assistToTurnover,offensiveReboundPercentage,defensiveReboundPercentage,Opponent teamTricode,Opponent offensiveRating,Opponent defensiveRating,Opponent possessions,Opponent assistToTurnover,Opponent offensiveReboundPercentage,Opponent defensiveReboundPercentage
0,LAL,0021400003,2014-10-28,90,11,32,1,79,28,10,3,39,31,11,25,16,7,3,HOU,108,31,73,0.425,12,29,0.414,34,50,0.68,14,33,22,7,3,13,30,2014-15,1,0,94.7,114.9,95.0,1.23,0.315,0.646,HOU,114.9,94.7,94.0,1.57,0.354,0.685
0,SAS,0021400002,2014-10-28,101,20,20,1,70,37,28,14,16,13,9,29,23,5,3,DAL,100,38,78,0.487,8,21,0.381,16,19,0.842,9,24,17,9,3,10,20,2014-15,0,1,117.4,116.3,86.0,1.1,0.306,0.0,DAL,116.3,117.4,86.0,1.7,0.0,0.694
0,DAL,0021400002,2014-10-28,100,10,20,0,78,38,21,8,19,16,9,24,17,9,3,SAS,101,37,70,0.529,14,28,0.5,13,16,0.813,9,29,23,5,3,20,20,2014-15,1,0,116.3,117.4,86.0,1.7,0.0,0.694,SAS,117.4,116.3,86.0,1.1,0.306,0.0
0,NOP,0021400001,2014-10-28,101,9,17,1,101,41,17,4,31,15,26,36,20,10,17,ORL,84,32,84,0.381,4,11,0.364,16,21,0.762,16,40,17,5,9,18,25,2014-15,0,1,106.3,88.4,95.0,2.22,0.408,0.673,ORL,88.4,106.3,95.0,0.94,0.327,0.592
0,ORL,0021400001,2014-10-28,84,18,25,0,84,32,11,4,21,16,16,40,17,5,9,NOP,101,41,101,0.406,4,17,0.235,15,31,0.484,26,36,20,10,17,9,17,2014-15,1,0,88.4,106.3,95.0,0.94,0.327,0.592,NOP,106.3,88.4,95.0,2.22,0.408,0.673
0,HOU,0021400003,2014-10-28,108,13,30,0,73,31,29,12,50,34,14,33,22,7,3,LAL,90,28,79,0.354,3,10,0.3,31,39,0.795,11,25,16,7,3,11,32,2014-15,0,1,114.9,94.7,94.0,1.57,0.354,0.685,LAL,94.7,114.9,95.0,1.23,0.315,0.646
0,UTA,0021400012,2014-10-29,93,13,16,1,81,38,18,3,17,14,13,21,16,8,6,HOU,104,40,77,0.519,14,27,0.519,10,14,0.714,8,27,18,7,6,18,23,2014-15,1,0,104.5,115.6,89.0,1.14,0.341,0.649,HOU,115.6,104.5,90.0,1.0,0.351,0.659
0,MIA,0021400007,2014-10-29,107,14,17,1,81,39,28,9,23,20,12,32,20,9,3,WAS,95,36,75,0.48,6,19,0.316,17,24,0.708,7,29,20,7,2,14,20,2014-15,0,1,116.3,103.3,92.0,1.43,0.0,0.0,WAS,103.3,116.3,92.0,1.43,0.0,0.0
0,CHI,0021400010,2014-10-29,104,15,18,0,71,36,24,7,30,25,10,37,21,9,4,NYK,80,31,85,0.365,3,17,0.176,15,17,0.882,14,24,19,9,5,11,22,2014-15,0,1,116.9,89.9,89.0,1.4,0.297,0.679,NYK,89.9,116.9,89.0,1.58,0.321,0.703
0,ATL,0021400008,2014-10-29,102,17,24,0,80,40,22,13,17,9,10,32,26,6,8,TOR,109,37,90,0.411,8,26,0.308,27,33,0.818,16,32,26,13,9,9,22,2014-15,1,0,108.5,116.0,94.0,1.37,0.283,0.614,TOR,116.0,108.5,94.0,2.6,0.386,0.717
