,TEAM_ABBREVIATION,GAME_ID,GAME_DATE,PTS,TOV,PF,At Home,FGA,FGM,FG3A,FG3M,FTA,FTM,OREB,DREB,AST,STL,BLK,Opponent,Opponent PTS,Opponent FGM,Opponent FGA,Opponent FG_PCT,Opponent FG3M,Opponent FG3A,Opponent FG3_PCT,Opponent FTM,Opponent FTA,Opponent FT_PCT,Opponent OREB,Opponent DREB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,SEASON,Opponent Win,Win,offensiveRating,defensiveRating,possessions,assistToTurnover,offensiveReboundPercentage,defensiveReboundPercentage,Opponent teamTricode,Opponent offensiveRating,Opponent defensiveRating,Opponent possessions,Opponent assistToTurnover,Opponent offensiveReboundPercentage,Opponent defensiveReboundPercentage
0,CLE,0021500002,2015-10-27,95,10,21,0,94,38,29,9,17,10,11,39,26,5,7,CHI,97,37,87,0.425,7,19,0.368,16,23,0.696,7,40,13,6,10,13,22,2015-16,1,0,96.9,99.0,98.0,2.36,0.276,0.759,CHI,99.0,96.9,98.0,1.0,0.241,0.724
0,CHI,0021500002,2015-10-27,97,13,22,1,87,37,19,7,23,16,7,40,13,6,10,CLE,95,38,94,0.404,9,29,0.31,10,17,0.588,11,39,26,5,7,10,21,2015-16,0,1,99.0,96.9,98.0,1.0,0.241,0.724,CLE,96.9,99.0,98.0,2.36,0.276,0.759
0,ATL,0021500001,2015-10-27,94,15,25,1,82,37,27,8,15,12,7,33,22,9,4,DET,106,37,96,0.385,12,29,0.414,20,26,0.769,23,36,23,5,3,15,15,2015-16,1,0,96.9,107.1,97.0,1.47,0.0,0.556,DET,107.1,96.9,99.0,1.53,0.444,0.0
0,DET,0021500001,2015-10-27,106,15,15,0,96,37,29,12,26,20,23,36,23,5,3,ATL,94,37,82,0.451,8,27,0.296,12,15,0.8,7,33,22,9,4,15,25,2015-16,0,1,107.1,96.9,99.0,1.53,0.444,0.0,ATL,96.9,107.1,97.0,1.47,0.0,0.556
0,GSW,0021500003,2015-10-27,111,20,29,1,96,41,30,9,22,20,21,35,29,8,7,NOP,95,35,83,0.422,6,18,0.333,19,27,0.704,8,25,21,9,3,18,26,2015-16,0,1,107.8,93.1,103.0,1.45,0.446,0.745,NOP,93.1,107.8,102.0,1.11,0.255,0.554
0,NOP,0021500003,2015-10-27,95,18,26,0,83,35,18,6,27,19,8,25,21,9,3,GSW,111,41,96,0.427,9,30,0.3,20,22,0.909,21,35,29,8,7,20,29,2015-16,1,0,93.1,107.8,102.0,1.11,0.255,0.554,GSW,107.8,93.1,103.0,1.45,0.446,0.745
0,NOP,0021500015,2015-10-28,94,11,17,0,91,36,33,11,18,11,5,34,19,7,2,POR,112,44,88,0.5,12,32,0.375,12,14,0.857,6,45,22,7,4,12,21,2015-16,1,0,94.0,110.9,100.0,1.73,0.175,0.822,POR,110.9,94.0,101.0,1.83,0.178,0.825
0,MEM,0021500011,2015-10-28,76,16,18,1,82,29,16,2,22,16,11,29,15,8,3,CLE,106,41,84,0.488,13,29,0.448,11,17,0.647,12,42,29,7,2,19,25,2015-16,1,0,78.4,108.2,97.0,0.94,0.214,0.681,CLE,108.2,78.4,98.0,1.53,0.319,0.786
0,NYK,0021500012,2015-10-28,122,11,28,0,93,42,23,9,35,29,19,30,24,11,7,MIL,97,30,86,0.349,9,18,0.5,28,31,0.903,18,29,17,7,4,18,27,2015-16,0,1,124.5,98.0,98.0,2.18,0.389,0.614,MIL,98.0,124.5,99.0,0.94,0.386,0.611
0,MIA,0021500008,2015-10-28,104,13,25,1,73,36,20,12,21,20,2,39,23,5,7,CHA,94,33,84,0.393,6,24,0.25,22,29,0.759,11,32,16,4,1,8,16,2015-16,0,1,109.5,100.0,95.0,1.77,0.108,0.764,CHA,100.0,109.5,94.0,1.78,0.236,0.892
0,IND,0021500009,2015-10-28,99,13,30,0,86,32,23,9,31,26,8,32,23,14,3,TOR,106,36,80,0.45,7,18,0.389,27,39,0.692,9,41,19,8,2,20,24,2015-16,1,0,95.2,101.9,104.0,1.77,0.193,0.7,TOR,101.9,95.2,104.0,0.9,0.3,0.807
0,TOR,0021500009,2015-10-28,106,20,24,1,80,36,18,7,39,27,9,41,19,8,2,IND,99,32,86,0.372,9,23,0.391,26,31,0.839,8,32,23,14,3,13,30,2015-16,0,1,101.9,95.2,104.0,0.9,0.3,0.807,IND,95.2,101.9,104.0,1.77,0.193,0.7
0,ORL,0021500004,2015-10-28,87,14,22,1,100,37,26,5,12,8,17,39,20,9,6,WAS,88,33,84,0.393,7,28,0.25,15,25,0.6,15,34,17,8,9,17,14,2015-16,1,0,87.9,88.9,99.0,1.25,0.397,0.0,WAS,88.9,87.9,99.0,0.94,0.0,0.603
0,CHA,0021500008,2015-10-28,94,8,16,0,84,33,24,6,29,22,11,32,16,4,1,MIA,104,36,73,0.493,12,20,0.6,20,21,0.952,2,39,23,5,7,13,25,2015-16,1,0,100.0,109.5,94.0,1.78,0.236,0.892,MIA,109.5,100.0,95.0,1.77,0.108,0.764
0,CHI,0021500006,2015-10-28,115,19,24,0,78,42,28,14,20,17,5,34,20,9,3,BKN,100,39,93,0.419,0,9,0.0,22,28,0.786,16,29,19,11,5,13,18,2015-16,0,1,113.9,100.0,101.0,1.0,0.0,0.684,BKN,100.0,113.9,100.0,1.46,0.316,0.0
