,TEAM_ABBREVIATION,GAME_ID,GAME_DATE,PTS,TOV,PF,At Home,FGA,FGM,FG3A,FG3M,FTA,FTM,OREB,DREB,AST,STL,BLK,Opponent,Opponent PTS,Opponent FGM,Opponent FGA,Opponent FG_PCT,Opponent FG3M,Opponent FG3A,Opponent FG3_PCT,Opponent FTM,Opponent FTA,Opponent FT_PCT,Opponent OREB,Opponent DREB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,SEASON,Opponent Win,Win,offensiveRating,defensiveRating,possessions,assistToTurnover,offensiveReboundPercentage,defensiveReboundPercentage,Opponent teamTricode,Opponent offensiveRating,Opponent defensiveRating,Opponent possessions,Opponent assistToTurnover,Opponent offensiveReboundPercentage,Opponent defensiveReboundPercentage
0,GSW,0022200002,2022-10-18,123,18,23,1,99,45,45,16,23,17,11,37,31,11,4,LAL,109,40,94,0.426,10,40,0.25,19,25,0.76,9,39,23,12,4,21,18,2022-23,0,1,107.0,97.3,115.0,1.72,0.281,0.754,LAL,97.3,107.0,112.0,1.05,0.246,0.719
0,LAL,0022200002,2022-10-18,109,21,18,0,94,40,40,10,25,19,9,39,23,12,4,GSW,123,45,99,0.455,16,45,0.356,17,23,0.739,11,37,31,11,4,18,23,2022-23,1,0,97.3,107.0,112.0,1.05,0.246,0.719,GSW,107.0,97.3,115.0,1.72,0.281,0.754
0,PHI,0022200001,2022-10-18,117,14,25,0,80,40,34,13,28,24,4,27,16,8,3,BOS,126,46,82,0.561,12,35,0.343,22,28,0.786,6,30,24,8,3,10,24,2022-23,1,0,119.4,129.9,98.0,1.14,0.19,0.744,BOS,129.9,119.4,97.0,2.18,0.256,0.81
0,BOS,0022200001,2022-10-18,126,10,24,1,82,46,35,12,28,22,6,30,24,8,3,PHI,117,40,80,0.5,13,34,0.382,24,28,0.857,4,27,16,8,3,14,25,2022-23,0,1,129.9,119.4,97.0,2.18,0.256,0.81,PHI,119.4,129.9,98.0,1.14,0.19,0.744
0,POR,0022200014,2022-10-19,115,11,17,0,88,39,28,11,33,26,11,33,20,11,2,SAC,108,39,85,0.459,17,44,0.386,13,19,0.684,4,37,27,8,5,15,25,2022-23,0,1,113.9,106.9,101.0,1.82,0.264,0.766,SAC,106.9,113.9,101.0,1.69,0.234,0.736
0,BKN,0022200006,2022-10-19,108,16,25,1,89,40,33,10,24,18,9,30,22,10,10,NOP,130,50,102,0.49,12,26,0.462,18,25,0.72,21,40,31,9,4,12,21,2022-23,1,0,105.9,127.5,102.0,1.38,0.226,0.571,NOP,127.5,105.9,102.0,2.38,0.429,0.774
0,NYK,0022200009,2022-10-19,112,12,26,0,109,44,37,9,18,15,18,36,28,7,5,MEM,115,42,108,0.389,17,50,0.34,14,23,0.609,20,44,27,6,7,13,17,2022-23,1,0,105.7,107.5,106.0,2.33,0.324,0.6,MEM,107.5,105.7,107.0,1.93,0.4,0.676
0,DEN,0022200012,2022-10-19,102,21,23,0,83,40,22,5,18,17,10,25,21,10,3,UTA,123,42,83,0.506,16,38,0.421,23,31,0.742,11,32,27,10,1,19,21,2022-23,1,0,100.0,119.4,102.0,1.0,0.25,0.591,UTA,119.4,100.0,103.0,1.35,0.409,0.75
0,SAS,0022200011,2022-10-19,102,15,19,1,99,40,34,7,21,15,14,30,22,8,8,CHA,129,48,94,0.511,13,29,0.448,20,23,0.87,14,37,26,7,10,15,20,2022-23,1,0,97.1,120.6,105.0,1.47,0.295,0.667,CHA,120.6,97.1,107.0,1.73,0.333,0.705
0,WAS,0022200004,2022-10-19,114,16,19,0,92,42,31,11,24,19,14,39,21,5,10,IND,107,39,97,0.402,15,42,0.357,14,21,0.667,12,30,21,7,5,15,20,2022-23,0,1,108.6,102.9,105.0,1.24,0.353,0.71,IND,102.9,108.6,104.0,1.4,0.29,0.647
0,NOP,0022200006,2022-10-19,130,12,21,0,102,50,26,12,25,18,21,40,31,9,4,BKN,108,40,89,0.449,10,33,0.303,18,24,0.75,9,30,22,10,10,16,25,2022-23,0,1,127.5,105.9,102.0,2.38,0.429,0.774,BKN,105.9,127.5,102.0,1.38,0.226,0.571
0,TOR,0022200008,2022-10-19,108,13,23,1,86,36,30,13,32,23,12,29,19,15,4,CLE,105,38,77,0.494,10,28,0.357,19,23,0.826,6,32,25,5,5,17,21,2022-23,0,1,109.1,106.1,99.0,1.46,0.321,0.805,CLE,106.1,109.1,99.0,1.47,0.195,0.679
0,UTA,0022200012,2022-10-19,123,19,21,1,83,42,38,16,31,23,11,32,27,10,1,DEN,102,40,83,0.482,5,22,0.227,17,18,0.944,10,25,21,10,3,21,23,2022-23,0,1,119.4,100.0,103.0,1.35,0.409,0.75,DEN,100.0,119.4,102.0,1.0,0.25,0.591
0,OKC,0022200010,2022-10-19,108,13,26,0,99,38,45,14,22,18,16,41,22,6,6,MIN,115,39,94,0.415,10,38,0.263,27,33,0.818,14,41,25,6,5,14,21,2022-23,1,0,100.9,109.5,107.0,1.57,0.317,0.7,MIN,109.5,100.9,105.0,1.79,0.3,0.683
0,ATL,0022200005,2022-10-19,117,9,18,1,90,45,25,7,24,20,4,34,30,12,5,HOU,107,42,98,0.429,9,35,0.257,14,15,0.933,15,39,25,4,3,15,20,2022-23,0,1,110.4,100.9,106.0,3.33,0.128,0.696,HOU,100.9,110.4,106.0,1.56,0.304,0.872
0,IND,0022200004,2022-10-19,107,15,20,1,97,39,42,15,21,14,12,30,21,7,5,WAS,114,42,92,0.457,11,31,0.355,19,24,0.792,14,39,21,5,10,16,19,2022-23,1,0,102.9,108.6,104.0,1.4,0.29,0.647,WAS,108.6,102.9,105.0,1.24,0.353,0.71
0,SAC,0022200014,2022-10-19,108,15,25,1,85,39,44,17,19,13,4,37,27,8,5,POR,115,39,88,0.443,11,28,0.393,26,33,0.788,11,33,20,11,2,11,17,2022-23,1,0,106.9,113.9,101.0,1.69,0.234,0.736,POR,113.9,106.9,101.0,1.82,0.264,0.766
0,MEM,0022200009,2022-10-19,115,13,17,1,108,42,50,17,23,14,20,44,27,6,7,NYK,112,44,109,0.404,9,37,0.243,15,18,0.833,18,36,28,7,5,12,26,2022-23,0,1,107.5,105.7,107.0,1.93,0.4,0.676,NYK,105.7,107.5,106.0,2.33,0.324,0.6
0,DAL,0022200013,2022-10-19,105,12,22,0,75,35,35,14,34,21,5,35,17,6,4,PHX,107,40,85,0.471,8,22,0.364,19,22,0.864,8,32,25,4,5,12,29,2022-23,1,0,110.5,113.8,95.0,1.42,0.217,0.745,PHX,113.8,110.5,94.0,2.08,0.255,0.783
0,MIN,0022200010,2022-10-19,115,14,21,1,94,39,38,10,33,27,14,41,25,6,5,OKC,108,38,99,0.384,14,45,0.311,18,22,0.818,16,41,22,6,6,13,26,2022-23,0,1,109.5,100.9,105.0,1.79,0.3,0.683,OKC,100.9,109.5,107.0,1.57,0.317,0.7
0,CHA,0022200011,2022-10-19,129,15,20,0,94,48,29,13,23,20,14,37,26,7,10,SAS,102,40,99,0.404,7,34,0.206,15,21,0.714,14,30,22,8,8,15,19,2022-23,0,1,120.6,97.1,107.0,1.73,0.333,0.705,SAS,97.1,120.6,105.0,1.47,0.295,0.667
0,PHX,0022200013,2022-10-19,107,12,29,1,85,40,22,8,22,19,8,32,25,4,5,DAL,105,35,75,0.467,14,35,0.4,21,34,0.618,5,35,17,6,4,12,22,2022-23,0,1,113.8,110.5,94.0,2.08,0.255,0.783,DAL,110.5,113.8,95.0,1.42,0.217,0.745
0,MIA,0022200007,2022-10-19,108,19,24,1,80,37,28,12,28,22,8,38,21,6,2,CHI,116,41,93,0.441,13,36,0.361,21,28,0.75,12,34,23,12,6,14,26,2022-23,1,0,102.9,110.5,105.0,1.11,0.196,0.696,CHI,110.5,102.9,105.0,1.53,0.304,0.804
0,CLE,0022200008,2022-10-19,105,17,21,0,77,38,28,10,23,19,6,32,25,5,5,TOR,108,36,86,0.419,13,30,0.433,23,32,0.719,12,29,19,15,4,13,23,2022-23,1,0,106.1,109.1,99.0,1.47,0.195,0.679,TOR,109.1,106.1,99.0,1.46,0.321,0.805
0,DET,0022200003,2022-10-19,113,12,21,1,94,40,38,14,24,19,12,29,31,11,4,ORL,109,42,86,0.488,11,30,0.367,14,19,0.737,10,38,21,5,5,18,24,2022-23,0,1,111.9,106.9,101.0,2.38,0.293,0.723,ORL,106.9,111.9,102.0,1.17,0.277,0.707
0,HOU,0022200005,2022-10-19,107,15,20,0,98,42,35,9,15,14,15,39,25,4,3,ATL,117,45,90,0.5,7,25,0.28,20,24,0.833,4,34,30,12,5,9,18,2022-23,1,0,100.9,110.4,106.0,1.56,0.304,0.872,ATL,110.4,100.9,106.0,3.33,0.128,0.696
0,ORL,0022200003,2022-10-19,109,18,24,0,86,42,30,11,19,14,10,38,21,5,5,DET,113,40,94,0.426,14,38,0.368,19,24,0.792,12,29,31,11,4,12,21,2022-23,1,0,106.9,111.9,102.0,1.17,0.277,0.707,DET,111.9,106.9,101.0,2.38,0.293,0.723
0,CHI,0022200007,2022-10-19,116,14,26,0,93,41,36,13,28,21,12,34,23,12,6,MIA,108,37,80,0.463,12,28,0.429,22,28,0.786,8,38,21,6,2,19,24,2022-23,0,1,110.5,102.9,105.0,1.53,0.304,0.804,MIA,102.9,110.5,105.0,1.11,0.196,0.696
0,MIL,0022200015,2022-10-20,90,12,16,0,84,34,42,13,14,9,7,41,24,4,6,PHI,88,36,83,0.434,5,24,0.208,11,13,0.846,6,38,17,6,5,10,14,2022-23,0,1,94.7,92.6,95.0,1.71,0.212,0.875,PHI,92.6,94.7,95.0,1.7,0.125,0.788
0,PHI,0022200015,2022-10-20,88,10,14,1,83,36,24,5,13,11,6,38,17,6,5,MIL,90,34,84,0.405,13,42,0.31,9,14,0.643,7,41,24,4,6,12,16,2022-23,1,0,92.6,94.7,95.0,1.7,0.125,0.788,MIL,94.7,92.6,95.0,1.71,0.212,0.875
0,LAC,0022200016,2022-10-20,103,22,24,0,80,37,29,9,31,20,10,48,18,7,7,LAL,97,33,94,0.351,9,45,0.2,22,26,0.846,8,30,23,13,5,10,24,2022-23,0,1,99.0,91.5,104.0,0.78,0.283,0.8,LAL,91.5,99.0,106.0,2.3,0.2,0.717
0,LAL,0022200016,2022-10-20,97,10,24,1,94,33,45,9,26,22,8,30,23,13,5,LAC,103,37,80,0.463,9,29,0.31,20,31,0.645,10,48,18,7,7,22,24,2022-23,1,0,91.5,99.0,106.0,2.3,0.2,0.717,LAC,99.0,91.5,104.0,0.78,0.283,0.8
0,PHX,0022200027,2022-10-21,111,16,29,0,94,43,27,10,21,15,9,32,31,14,1,POR,113,36,82,0.439,10,29,0.345,31,36,0.861,13,35,14,8,5,18,19,2022-23,1,0,102.8,103.7,108.0,1.82,0.283,0.694,POR,103.7,102.8,109.0,0.67,0.306,0.717
0,TOR,0022200021,2022-10-21,105,13,21,0,84,41,28,11,18,12,8,33,25,9,4,BKN,109,38,80,0.475,13,35,0.371,20,29,0.69,13,31,26,3,13,13,19,2022-23,1,0,109.4,114.7,96.0,1.67,0.292,0.723,BKN,114.7,109.4,95.0,2.0,0.277,0.708
0,WAS,0022200019,2022-10-21,102,16,22,1,80,41,26,10,11,10,5,34,26,8,8,CHI,100,33,79,0.418,7,27,0.259,27,33,0.818,10,28,19,8,3,13,15,2022-23,0,1,103.0,103.1,99.0,1.53,0.179,0.771,CHI,103.1,103.0,97.0,1.46,0.229,0.821
0,POR,0022200027,2022-10-21,113,18,19,1,82,36,29,10,36,31,13,35,14,8,5,PHX,111,43,94,0.457,10,27,0.37,15,21,0.714,9,32,31,14,1,16,29,2022-23,0,1,103.7,102.8,109.0,0.67,0.306,0.717,PHX,102.8,103.7,108.0,1.82,0.283,0.694
0,DEN,0022200026,2022-10-21,128,20,22,0,86,46,34,15,25,21,12,29,30,10,2,GSW,123,42,88,0.477,15,44,0.341,24,27,0.889,7,28,34,10,3,18,23,2022-23,0,1,120.8,113.9,106.0,1.5,0.286,0.708,GSW,113.9,120.8,108.0,1.79,0.292,0.714
0,NOP,0022200017,2022-10-21,124,15,14,0,89,42,22,8,37,32,15,38,23,9,7,CHA,112,44,97,0.454,13,34,0.382,11,14,0.786,11,26,30,9,4,13,24,2022-23,0,1,119.2,108.7,104.0,1.44,0.417,0.736,CHA,108.7,119.2,103.0,2.14,0.264,0.583
0,MIA,0022200022,2022-10-21,104,9,18,1,92,42,26,8,15,12,11,25,23,8,3,BOS,111,41,79,0.519,14,33,0.424,15,15,1.0,12,31,17,4,11,19,23,2022-23,1,0,109.5,116.8,95.0,2.3,0.314,0.658,BOS,116.8,109.5,95.0,0.85,0.342,0.686
0,CHI,0022200019,2022-10-21,100,13,15,0,79,33,27,7,33,27,10,28,19,8,3,WAS,102,41,80,0.513,10,26,0.385,10,11,0.909,5,34,26,8,8,16,22,2022-23,1,0,103.1,103.0,97.0,1.46,0.229,0.821,WAS,103.0,103.1,99.0,1.53,0.179,0.771
0,ATL,0022200020,2022-10-21,108,17,22,1,89,40,31,13,16,15,9,37,26,10,2,ORL,98,33,80,0.413,8,34,0.235,24,30,0.8,10,34,16,9,7,19,19,2022-23,0,1,105.9,97.0,102.0,1.53,0.286,0.776,ORL,97.0,105.9,101.0,0.84,0.224,0.714
0,GSW,0022200026,2022-10-21,123,18,23,1,88,42,44,15,27,24,7,28,34,10,3,DEN,128,46,86,0.535,15,34,0.441,21,25,0.84,12,29,30,10,2,20,22,2022-23,1,0,113.9,120.8,108.0,1.79,0.292,0.714,DEN,120.8,113.9,106.0,1.5,0.286,0.708
