,TEAM_ABBREVIATION,GAME_ID,GAME_DATE,PTS,TOV,PF,At Home,FGA,FGM,FG3A,FG3M,FTA,FTM,OREB,DREB,AST,STL,BLK,Opponent,Opponent PTS,Opponent FGM,Opponent FGA,Opponent FG_PCT,Opponent FG3M,Opponent FG3A,Opponent FG3_PCT,Opponent FTM,Opponent FTA,Opponent FT_PCT,Opponent OREB,Opponent DREB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,SEASON,Opponent Win,Win,offensiveRating,defensiveRating,possessions,assistToTurnover,offensiveReboundPercentage,defensiveReboundPercentage,Opponent teamTricode,Opponent offensiveRating,Opponent defensiveRating,Opponent possessions,Opponent assistToTurnover,Opponent offensiveReboundPercentage,Opponent defensiveReboundPercentage
0,DEN,0022300061,2023-10-24,119,11,15,1,91,48,34,14,12,9,9,33,29,9,6,LAL,107,41,90,0.456,10,29,0.345,15,20,0.75,13,31,23,5,4,11,18,2023-24,0,1,125.3,111.5,95.0,2.42,0.289,0.654,LAL,111.5,125.3,96.0,1.92,0.346,0.711
0,LAL,0022300061,2023-10-24,107,11,18,0,90,41,29,10,20,15,13,31,23,5,4,DEN,119,48,91,0.527,14,34,0.412,9,12,0.75,9,33,29,9,6,11,15,2023-24,1,0,111.5,125.3,96.0,1.92,0.346,0.711,DEN,125.3,111.5,95.0,2.42,0.289,0.654
0,GSW,0022300062,2023-10-24,104,11,23,1,101,36,43,10,28,22,18,31,19,11,6,PHX,108,42,95,0.442,11,33,0.333,13,17,0.765,17,43,23,5,7,19,22,2023-24,1,0,102.0,106.9,102.0,1.73,0.358,0.604,PHX,106.9,102.0,101.0,1.21,0.396,0.642
0,PHX,0022300062,2023-10-24,108,19,22,0,95,42,33,11,17,13,17,43,23,5,7,GSW,104,36,101,0.356,10,43,0.233,22,28,0.786,18,31,19,11,6,11,23,2023-24,0,1,106.9,102.0,101.0,1.21,0.396,0.642,GSW,102.0,106.9,102.0,1.73,0.358,0.604
0,SAC,0022300072,2023-10-25,130,11,25,0,102,47,51,19,20,17,15,30,29,6,8,UTA,114,41,91,0.451,9,28,0.321,23,31,0.742,16,38,22,6,2,14,20,2023-24,0,1,123.8,108.6,105.0,2.42,0.281,0.686,UTA,108.6,123.8,105.0,1.57,0.314,0.719
0,BKN,0022300067,2023-10-25,113,17,16,1,84,42,27,9,26,20,13,37,30,6,6,CLE,114,44,94,0.468,17,43,0.395,9,10,0.9,9,29,25,10,6,10,23,2023-24,1,0,113.0,115.2,100.0,1.67,0.348,0.804,CLE,115.2,113.0,99.0,2.5,0.196,0.652
0,LAC,0022300074,2023-10-25,123,17,20,1,90,47,34,16,16,13,14,31,36,11,7,POR,111,44,93,0.473,10,32,0.313,13,17,0.765,15,25,20,10,4,17,20,2023-24,0,1,124.2,112.1,99.0,2.0,0.4,0.635,POR,112.1,124.2,99.0,1.11,0.365,0.6
0,SAS,0022300073,2023-10-25,119,19,23,1,89,46,35,11,22,16,9,36,33,8,5,DAL,126,47,99,0.475,15,47,0.319,17,23,0.739,13,35,24,6,3,12,20,2023-24,1,0,111.2,117.8,107.0,1.74,0.255,0.717,DAL,117.8,111.2,107.0,2.0,0.283,0.745
0,POR,0022300074,2023-10-25,111,17,20,0,93,44,32,10,17,13,15,25,20,10,4,LAC,123,47,90,0.522,16,34,0.471,13,16,0.813,14,31,36,11,7,17,20,2023-24,1,0,112.1,124.2,99.0,1.11,0.365,0.6,LAC,124.2,112.1,99.0,2.0,0.4,0.635
0,DAL,0022300073,2023-10-25,126,12,20,0,99,47,47,15,23,17,13,35,24,6,3,SAS,119,46,89,0.517,11,35,0.314,16,22,0.727,9,36,33,8,5,19,23,2023-24,0,1,117.8,111.2,107.0,2.0,0.283,0.745,SAS,111.2,117.8,107.0,1.74,0.255,0.717
