,TEAM_ABBREVIATION,GAME_ID,GAME_DATE,PTS,TOV,PF,At Home,FGA,FGM,FG3A,FG3M,FTA,FTM,OREB,DREB,AST,STL,BLK,Opponent,Opponent PTS,Opponent FGM,Opponent FGA,Opponent FG_PCT,Opponent FG3M,Opponent FG3A,Opponent FG3_PCT,Opponent FTM,Opponent FTA,Opponent FT_PCT,Opponent OREB,Opponent DREB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,SEASON,Opponent Win,Win,offensiveRating,defensiveRating,possessions,assistToTurnover,offensiveReboundPercentage,defensiveReboundPercentage,Opponent teamTricode,Opponent offensiveRating,Opponent defensiveRating,Opponent possessions,Opponent assistToTurnover,Opponent offensiveReboundPercentage,Opponent defensiveReboundPercentage
0,POR,0021600002,2016-10-25,113,12,18,1,75,39,19,13,22,22,5,29,22,5,3,UTA,104,40,82,0.488,8,24,0.333,16,16,1.0,6,25,19,9,5,11,19,2016-17,0,1,122.8,114.3,92.0,1.69,0.222,0.738,UTA,114.3,122.8,91.0,1.36,0.262,0.778
0,SAS,0021600003,2016-10-25,129,13,19,0,98,47,24,12,26,23,21,34,25,13,3,GSW,100,40,85,0.471,7,33,0.212,13,18,0.722,8,27,24,11,6,16,19,2016-17,0,1,129.0,99.0,100.0,1.79,0.472,0.792,GSW,99.0,129.0,101.0,1.5,0.208,0.528
0,GSW,0021600003,2016-10-25,100,16,19,1,85,40,33,7,18,13,8,27,24,11,6,SAS,129,47,98,0.48,12,24,0.5,23,26,0.885,21,34,25,13,3,13,19,2016-17,1,0,99.0,129.0,101.0,1.5,0.208,0.528,SAS,129.0,99.0,100.0,1.79,0.472,0.792
0,UTA,0021600002,2016-10-25,104,11,19,0,82,40,24,8,16,16,6,25,19,9,5,POR,113,39,75,0.52,13,19,0.684,22,22,1.0,5,29,22,5,3,12,18,2016-17,1,0,114.3,122.8,91.0,1.36,0.262,0.778,POR,122.8,114.3,92.0,1.69,0.222,0.738
0,NYK,0021600001,2016-10-25,88,18,22,0,87,32,27,9,20,15,13,29,17,6,6,CLE,117,45,94,0.479,13,35,0.371,14,19,0.737,11,40,31,12,5,14,22,2016-17,1,0,87.1,115.8,101.0,0.94,0.271,0.647,CLE,115.8,87.1,101.0,2.07,0.353,0.729
0,CLE,0021600001,2016-10-25,117,14,22,1,94,45,35,13,19,14,11,40,31,12,5,NYK,88,32,87,0.368,9,27,0.333,15,20,0.75,13,29,17,6,6,18,22,2016-17,0,1,115.8,87.1,101.0,2.07,0.353,0.729,NYK,87.1,115.8,101.0,0.94,0.271,0.647
0,MIL,0021600008,2016-10-26,96,8,22,1,92,39,16,3,20,15,10,36,23,4,5,CHA,107,40,89,0.449,7,23,0.304,20,24,0.833,11,40,27,5,10,10,22,2016-17,1,0,102.1,111.5,94.0,2.88,0.25,0.712,CHA,111.5,102.1,96.0,2.7,0.288,0.75
0,DAL,0021600005,2016-10-26,121,15,27,0,104,45,48,18,18,13,10,39,26,8,8,IND,130,47,93,0.505,10,19,0.526,26,34,0.765,8,44,30,11,6,16,23,2016-17,1,0,105.2,112.1,115.0,1.73,0.246,0.784,IND,112.1,105.2,116.0,1.88,0.216,0.754
0,CHA,0021600008,2016-10-26,107,10,22,0,89,40,23,7,24,20,11,40,27,5,10,MIL,96,39,92,0.424,3,16,0.188,15,20,0.75,10,36,23,4,5,8,22,2016-17,0,1,111.5,102.1,96.0,2.7,0.288,0.75,MIL,102.1,111.5,94.0,2.88,0.25,0.712
0,DET,0021600007,2016-10-26,91,13,24,0,84,35,22,4,22,17,8,32,17,8,0,TOR,109,41,86,0.477,3,18,0.167,24,29,0.828,14,37,17,8,0,11,22,2016-17,1,0,93.8,112.4,97.0,1.21,0.231,0.7,TOR,112.4,93.8,97.0,1.42,0.3,0.769
0,ORL,0021600004,2016-10-26,96,11,15,1,89,34,18,6,28,22,15,30,20,5,4,MIA,108,47,97,0.485,4,16,0.25,10,16,0.625,16,36,27,5,7,10,22,2016-17,1,0,102.1,112.5,94.0,1.82,0.321,0.585,MIA,112.5,102.1,96.0,2.25,0.415,0.679
0,TOR,0021600007,2016-10-26,109,11,22,1,86,41,18,3,29,24,14,37,17,8,0,DET,91,35,84,0.417,4,22,0.182,17,22,0.773,8,32,17,8,0,13,24,2016-17,0,1,112.4,93.8,97.0,1.42,0.3,0.769,DET,93.8,112.4,97.0,1.21,0.231,0.7
0,BKN,0021600006,2016-10-26,117,16,19,0,97,43,44,15,20,16,15,29,22,8,3,BOS,122,48,89,0.539,11,32,0.344,15,18,0.833,12,35,36,13,9,19,20,2016-17,1,0,112.5,117.3,104.0,1.38,0.345,0.0,BOS,117.3,112.5,104.0,1.89,0.0,0.655
0,DEN,0021600010,2016-10-26,107,24,22,0,83,37,24,8,33,25,11,47,18,7,4,NOP,102,38,92,0.413,3,19,0.158,23,26,0.885,5,28,31,16,5,11,29,2016-17,0,1,96.4,92.7,111.0,0.72,0.292,0.891,NOP,92.7,96.4,110.0,2.82,0.109,0.708
0,PHI,0021600011,2016-10-26,97,13,22,1,84,36,24,7,25,18,5,38,21,5,10,OKC,103,39,94,0.415,6,22,0.273,19,26,0.731,13,40,19,7,3,10,23,2016-17,1,0,97.0,103.0,100.0,1.5,0.0,0.695,OKC,103.0,97.0,100.0,1.9,0.305,0.0
0,HOU,0021600013,2016-10-26,114,14,23,0,86,44,29,7,27,19,10,29,29,10,1,LAL,120,45,89,0.506,12,35,0.343,18,22,0.818,11,28,21,10,4,15,24,2016-17,1,0,112.9,118.8,101.0,1.93,0.283,0.674,LAL,118.8,112.9,101.0,1.31,0.326,0.717
0,LAL,0021600013,2016-10-26,120,15,24,1,89,45,35,12,22,18,11,28,21,10,4,HOU,114,44,86,0.512,7,29,0.241,19,27,0.704,10,29,29,10,1,14,23,2016-17,0,1,118.8,112.9,101.0,1.31,0.326,0.717,HOU,112.9,118.8,101.0,1.93,0.283,0.674
0,NOP,0021600010,2016-10-26,102,11,29,1,92,38,19,3,26,23,5,28,31,16,5,DEN,107,37,83,0.446,8,24,0.333,25,33,0.758,11,47,18,7,4,24,22,2016-17,1,0,92.7,96.4,110.0,2.82,0.109,0.708,DEN,96.4,92.7,111.0,0.72,0.292,0.891
0,PHX,0021600012,2016-10-26,94,18,29,1,77,36,16,4,27,18,10,31,20,6,3,SAC,113,44,86,0.512,6,21,0.286,19,26,0.731,10,31,24,5,5,13,20,2016-17,1,0,96.9,116.5,97.0,1.11,0.267,0.696,SAC,116.5,96.9,97.0,1.71,0.304,0.733
0,IND,0021600005,2016-10-26,130,16,23,1,93,47,19,10,34,26,8,44,30,11,6,DAL,121,45,104,0.433,18,48,0.375,13,18,0.722,10,39,26,8,8,15,27,2016-17,0,1,112.1,105.2,116.0,1.88,0.216,0.754,DAL,105.2,112.1,115.0,1.73,0.246,0.784
0,MEM,0021600009,2016-10-26,102,13,25,1,80,36,24,11,27,19,11,34,19,6,11,MIN,98,36,86,0.419,6,18,0.333,20,29,0.69,15,30,20,6,5,10,23,2016-17,0,1,109.7,107.7,93.0,1.46,0.333,0.648,MIN,107.7,109.7,91.0,1.82,0.352,0.667
0,MIN,0021600009,2016-10-26,98,10,23,0,86,36,18,6,29,20,15,30,20,6,5,MEM,102,36,80,0.45,11,24,0.458,19,27,0.704,11,34,19,6,11,13,25,2016-17,1,0,107.7,109.7,91.0,1.82,0.352,0.667,MEM,109.7,107.7,93.0,1.46,0.333,0.648
0,SAC,0021600012,2016-10-26,113,13,20,0,86,44,21,6,26,19,10,31,24,5,5,PHX,94,36,77,0.468,4,16,0.25,18,27,0.667,10,31,20,6,3,18,29,2016-17,0,1,116.5,96.9,97.0,1.71,0.304,0.733,PHX,96.9,116.5,97.0,1.11,0.267,0.696
