,Name,EntityId,Minutes,OffPoss,DefPoss,Points,OpponentPoints,TsPct,FG2A,FG3A,FTA,Lineup,Team Points,Team FG2M,Team FG2A,Team FG3M,Team FG3A,Team TsPct,Team FTA,Season,Team,PtsPer75,FGA,Team FGA
23,Troy Daniels,203584,18,40,42,11,30,0.6875,1,7,1,"Quinn Cook, Kyle Kuzma, Jared Dudley, Troy Daniels, Dwight Howard",44,13,20,6,16,0.6111111111111112,1,2019-20,LAL,20.625,8,36
24,Dwight Howard,2730,18,40,42,8,30,1.0,4,0,0,"Quinn Cook, Kyle Kuzma, Jared Dudley, Troy Daniels, Dwight Howard",44,13,20,6,16,0.6111111111111112,1,2019-20,LAL,15.0,4,36
25,Alex Caruso,1627936,5,10,9,0,7,0.0,1,1,0,"Alex Caruso, Kyle Kuzma, Anthony Davis, LeBron James, Dwight Howard",10,4,9,0,2,0.4166666666666667,2,2019-20,LAL,0.0,2,11
26,Kyle Kuzma,1628398,5,10,9,4,7,0.6666666666666666,3,0,0,"Alex Caruso, Kyle Kuzma, Anthony Davis, LeBron James, Dwight Howard",10,4,9,0,2,0.4166666666666667,2,2019-20,LAL,30.0,3,11
27,Anthony Davis,203076,5,10,9,4,7,0.6666666666666666,2,0,2,"Alex Caruso, Kyle Kuzma, Anthony Davis, LeBron James, Dwight Howard",10,4,9,0,2,0.4166666666666667,2,2019-20,LAL,30.0,2,11
28,LeBron James,2544,5,10,9,2,7,0.3333333333333333,2,1,0,"Alex Caruso, Kyle Kuzma, Anthony Davis, LeBron James, Dwight Howard",10,4,9,0,2,0.4166666666666667,2,2019-20,LAL,15.0,3,11
29,Dwight Howard,2730,5,10,9,0,7,0.0,1,0,0,"Alex Caruso, Kyle Kuzma, Anthony Davis, LeBron James, Dwight Howard",10,4,9,0,2,0.4166666666666667,2,2019-20,LAL,0.0,1,11
30,Quinn Cook,1626188,2,4,4,0,11,0.0,1,0,0,"Quinn Cook, Kyle Kuzma, Danny Green, Anthony Davis, Dwight Howard",6,3,5,0,1,0.5,0,2019-20,LAL,0.0,1,6
31,Kyle Kuzma,1628398,2,4,4,4,11,0.6666666666666666,3,0,0,"Quinn Cook, Kyle Kuzma, Danny Green, Anthony Davis, Dwight Howard",6,3,5,0,1,0.5,0,2019-20,LAL,75.0,3,6
32,Danny Green,201980,2,4,4,0,11,0.0,0,1,0,"Quinn Cook, Kyle Kuzma, Danny Green, Anthony Davis, Dwight Howard",6,3,5,0,1,0.5,0,2019-20,LAL,0.0,1,6
33,Anthony Davis,203076,2,4,4,0,11,0.0,0,0,0,"Quinn Cook, Kyle Kuzma, Danny Green, Anthony Davis, Dwight Howard",6,3,5,0,1,0.5,0,2019-20,LAL,0.0,0,6
34,Dwight Howard,2730,2,4,4,2,11,1.0,1,0,0,"Quinn Cook, Kyle Kuzma, Danny Green, Anthony Davis, Dwight Howard",6,3,5,0,1,0.5,0,2019-20,LAL,37.5,1,6
35,Quinn Cook,1626188,6,11,11,0,18,0.0,1,0,0,"Quinn Cook, Talen Horton-Tucker, JaVale McGee, Markieff Morris, JR Smith",13,5,9,1,2,0.5909090909090909,0,2019-20,LAL,0.0,1,11
36,Talen Horton-Tucker,1629659,6,11,11,2,18,1.0,1,0,0,"Quinn Cook, Talen Horton-Tucker, JaVale McGee, Markieff Morris, JR Smith",13,5,9,1,2,0.5909090909090909,0,2019-20,LAL,13.636363636363637,1,11
37,JaVale McGee,201580,6,11,11,4,18,0.6666666666666666,3,0,0,"Quinn Cook, Talen Horton-Tucker, JaVale McGee, Markieff Morris, JR Smith",13,5,9,1,2,0.5909090909090909,0,2019-20,LAL,27.272727272727273,3,11
38,Markieff Morris,202693,6,11,11,3,18,1.5,0,1,0,"Quinn Cook, Talen Horton-Tucker, JaVale McGee, Markieff Morris, JR Smith",13,5,9,1,2,0.5909090909090909,0,2019-20,LAL,20.454545454545453,1,11
