,Name,EntityId,Minutes,OffPoss,DefPoss,Points,OpponentPoints,TsPct,FG2A,FG3A,FTA,Lineup,Team Points,Team FG2M,Team FG2A,Team FG3M,Team FG3A,Team TsPct,Team FTA,Season,Team,PtsPer75,FGA,Team FGA
25,D'Angelo Russell,1626156,14,28,31,4,26,0.25,2,4,1,"D'Angelo Russell, Karl-Anthony Towns, Malik Beasley, Anthony Edwards, Jaden McDaniels",32,9,12,1,11,0.5535714285714286,11,2021-22,MIN,10.714285714285714,6,23
26,Karl-Anthony Towns,1626157,14,28,31,10,26,0.7142857142857143,3,1,6,"D'Angelo Russell, Karl-Anthony Towns, Malik Beasley, Anthony Edwards, Jaden McDaniels",32,9,12,1,11,0.5535714285714286,11,2021-22,MIN,26.785714285714285,4,23
27,Malik Beasley,1627736,14,28,31,2,26,0.3333333333333333,1,2,0,"D'Angelo Russell, Karl-Anthony Towns, Malik Beasley, Anthony Edwards, Jaden McDaniels",32,9,12,1,11,0.5535714285714286,11,2021-22,MIN,5.357142857142857,3,23
28,Anthony Edwards,1630162,14,28,31,10,26,0.625,4,3,2,"D'Angelo Russell, Karl-Anthony Towns, Malik Beasley, Anthony Edwards, Jaden McDaniels",32,9,12,1,11,0.5535714285714286,11,2021-22,MIN,26.785714285714285,7,23
29,Jaden McDaniels,1630183,14,28,31,6,26,0.75,2,1,2,"D'Angelo Russell, Karl-Anthony Towns, Malik Beasley, Anthony Edwards, Jaden McDaniels",32,9,12,1,11,0.5535714285714286,11,2021-22,MIN,16.071428571428573,3,23
30,D'Angelo Russell,1626156,2,3,2,0,2,0.0,0,0,0,"D'Angelo Russell, Karl-Anthony Towns, Taurean Prince, Jordan McLaughlin, Patrick Beverley",4,2,2,0,1,0.6666666666666666,0,2021-22,MIN,0.0,0,3
31,Karl-Anthony Towns,1626157,2,3,2,4,2,1.0,2,0,0,"D'Angelo Russell, Karl-Anthony Towns, Taurean Prince, Jordan McLaughlin, Patrick Beverley",4,2,2,0,1,0.6666666666666666,0,2021-22,MIN,100.0,2,3
32,Taurean Prince,1627752,2,3,2,0,2,0.0,0,1,0,"D'Angelo Russell, Karl-Anthony Towns, Taurean Prince, Jordan McLaughlin, Patrick Beverley",4,2,2,0,1,0.6666666666666666,0,2021-22,MIN,0.0,1,3
33,Jordan McLaughlin,1629162,2,3,2,0,2,0.0,0,0,0,"D'Angelo Russell, Karl-Anthony Towns, Taurean Prince, Jordan McLaughlin, Patrick Beverley",4,2,2,0,1,0.6666666666666666,0,2021-22,MIN,0.0,0,3
34,Patrick Beverley,201976,2,3,2,0,2,0.0,0,0,0,"D'Angelo Russell, Karl-Anthony Towns, Taurean Prince, Jordan McLaughlin, Patrick Beverley",4,2,2,0,1,0.6666666666666666,0,2021-22,MIN,0.0,0,3
35,Malik Beasley,1627736,9,16,18,3,17,1.5,0,1,0,"Malik Beasley, Naz Reid, Anthony Edwards, Jaden McDaniels, Patrick Beverley",13,2,6,3,8,0.43333333333333335,2,2021-22,MIN,14.0625,1,14
