,Unnamed: 0,Name,EntityId,Minutes,OffPoss,DefPoss,Points,OpponentPoints,TsPct,FG2A,FG3A,FTA,Lineup,Team Points,Team FG2M,Team FG2A,Team FG3M,Team FG3A,Team TsPct,Team FTA,Season,Team,PtsPer75,FGA,Team FGA
275,,Karl-Anthony Towns,1626157,32,60,61,23,78,0.8214285714285714,9,5,1,"Karl-Anthony Towns, Kris Dunn, Brandon Rush, Gorgui Dieng, Andrew Wiggins",86,24,40,11,15,0.7543859649122807,7,2016-17,MIN,28.75,14,55
280,,Karl-Anthony Towns,1626157,159,311,314,114,386,0.6263736263736264,73,10,17,"Karl-Anthony Towns, Kris Dunn, Gorgui Dieng, Zach LaVine, Andrew Wiggins",364,113,234,28,61,0.5572755417956656,70,2016-17,MIN,27.491961414790996,83,295
285,,Tyus Jones,1626145,28,50,51,8,58,0.36363636363636365,6,3,4,"Tyus Jones, Brandon Rush, Cole Aldrich, Nemanja Bjelica, Shabazz Muhammad",49,17,31,3,12,0.5104166666666666,10,2016-17,MIN,12.0,9,43
290,,Tyus Jones,1626145,82,152,154,18,165,0.36,17,7,3,"Tyus Jones, Karl-Anthony Towns, Kris Dunn, Nemanja Bjelica, Shabazz Muhammad",162,61,120,9,30,0.5192307692307693,17,2016-17,MIN,8.881578947368421,24,150
295,,Tyus Jones,1626145,36,74,71,9,78,0.5625,6,2,0,"Tyus Jones, Karl-Anthony Towns, Gorgui Dieng, Zach LaVine, Andrew Wiggins",101,25,47,12,23,0.6410256410256411,18,2016-17,MIN,9.121621621621621,8,70
300,,Karl-Anthony Towns,1626157,24,45,47,14,38,0.5833333333333334,8,0,8,"Karl-Anthony Towns, Kris Dunn, Nemanja Bjelica, Shabazz Muhammad, Zach LaVine",48,11,31,4,15,0.4528301886792453,15,2016-17,MIN,23.333333333333332,8,46
305,,Brandon Rush,201575,26,49,51,5,62,0.625,1,3,0,"Brandon Rush, Ricky Rubio, Omri Casspi, Gorgui Dieng, Andrew Wiggins",56,18,32,2,8,0.5978260869565217,14,2016-17,MIN,7.653061224489796,4,40
310,,Ricky Rubio,201937,37,71,71,14,73,0.4375,7,4,10,"Ricky Rubio, Nemanja Bjelica, Gorgui Dieng, Shabazz Muhammad, Andrew Wiggins",66,20,56,3,17,0.39759036144578314,20,2016-17,MIN,14.788732394366198,11,73
315,,Karl-Anthony Towns,1626157,39,77,76,18,72,0.5,12,4,4,"Karl-Anthony Towns, Kris Dunn, Gorgui Dieng, Shabazz Muhammad, Andrew Wiggins",92,26,48,8,16,0.6216216216216216,21,2016-17,MIN,17.532467532467532,16,64
320,,Karl-Anthony Towns,1626157,881,1718,1713,546,1935,0.5761099365750528,342,82,113,"Karl-Anthony Towns, Ricky Rubio, Gorgui Dieng, Zach LaVine, Andrew Wiggins",1899,589,1149,133,375,0.5531727379553466,412,2016-17,MIN,23.835855646100118,424,1524
325,,Tyus Jones,1626145,49,94,88,10,88,0.5,5,5,2,"Tyus Jones, Karl-Anthony Towns, Ricky Rubio, Gorgui Dieng, Andrew Wiggins",115,34,60,7,21,0.5947368421052631,35,2016-17,MIN,7.9787234042553195,10,81
330,,Karl-Anthony Towns,1626157,1132,2234,2245,619,2423,0.6217303822937625,328,106,141,"Karl-Anthony Towns, Jeff Teague, Taj Gibson, Jimmy Butler, Andrew Wiggins",2592,806,1536,184,487,0.571333922261484,545,2017-18,MIN,20.781110116383168,434,2023
335,,Tyus Jones,1626145,116,240,232,28,279,0.5833333333333334,9,11,8,"Tyus Jones, Taj Gibson, Gorgui Dieng, Jamal Crawford, Andrew Wiggins",260,84,161,17,55,0.5462184873949579,53,2017-18,MIN,8.75,20,216
340,,Tyus Jones,1626145,77,148,152,20,176,0.7142857142857143,7,6,2,"Tyus Jones, Karl-Anthony Towns, Jimmy Butler, Gorgui Dieng, Jamal Crawford",177,48,82,18,45,0.6321428571428571,32,2017-18,MIN,10.135135135135135,13,127
345,,Karl-Anthony Towns,1626157,49,108,103,27,120,0.5625,16,4,9,"Karl-Anthony Towns, Jeff Teague, Nemanja Bjelica, Jamal Crawford, Andrew Wiggins",123,33,70,13,30,0.5747663551401869,20,2017-18,MIN,18.75,20,100
350,,Tyus Jones,1626145,46,95,90,10,95,0.4166666666666667,10,2,1,"Tyus Jones, Karl-Anthony Towns, Nemanja Bjelica, Shabazz Muhammad, Jamal Crawford",105,33,65,7,22,0.5585106382978723,19,2017-18,MIN,7.894736842105263,12,87
355,,Jeff Teague,201952,42,91,87,22,102,0.4074074074074074,20,5,4,"Jeff Teague, Nemanja Bjelica, Gorgui Dieng, Jamal Crawford, Andrew Wiggins",76,29,60,2,13,0.4691358024691358,17,2017-18,MIN,18.13186813186813,25,73
360,,Karl-Anthony Towns,1626157,25,48,47,16,42,0.7272727272727273,6,1,8,"Karl-Anthony Towns, Jeff Teague, Nemanja Bjelica, Jimmy Butler, Andrew Wiggins",60,13,26,6,15,0.6122448979591837,21,2017-18,MIN,25.0,7,41
365,,Tyus Jones,1626145,51,96,97,20,102,0.6666666666666666,8,6,2,"Tyus Jones, Karl-Anthony Towns, Nemanja Bjelica, Jimmy Butler, Jamal Crawford",126,32,52,11,31,0.6510416666666666,32,2017-18,MIN,15.625,14,83
370,,Karl-Anthony Towns,1626157,382,784,773,248,832,0.6631016042780749,126,35,58,"Karl-Anthony Towns, Jeff Teague, Taj Gibson, Nemanja Bjelica, Andrew Wiggins",885,287,548,57,167,0.556890012642225,176,2017-18,MIN,23.724489795918366,161,715
375,,Karl-Anthony Towns,1626157,21,40,34,8,38,0.6666666666666666,4,1,3,"Karl-Anthony Towns, Jeff Teague, Jimmy Butler, Gorgui Dieng, Jamal Crawford",55,15,26,5,14,0.6111111111111112,12,2017-18,MIN,15.0,5,40
380,,Tyus Jones,1626145,52,106,105,8,89,0.4444444444444444,5,3,2,"Tyus Jones, Taj Gibson, Jimmy Butler, Gorgui Dieng, Andrew Wiggins",111,31,67,10,27,0.5285714285714286,24,2017-18,MIN,5.660377358490566,8,94
385,,Tyus Jones,1626145,261,499,498,69,483,0.5227272727272727,36,23,15,"Tyus Jones, Karl-Anthony Towns, Taj Gibson, Jimmy Butler, Andrew Wiggins",613,190,348,42,124,0.5703564727954972,139,2017-18,MIN,10.370741482965931,59,472
390,,Tyus Jones,1626145,28,49,48,17,54,1.0625,4,3,2,"Tyus Jones, Karl-Anthony Towns, Marcus Georges-Hunt, Gorgui Dieng, Jamal Crawford",67,17,34,8,13,0.6320754716981132,12,2017-18,MIN,26.020408163265305,7,47
395,,Tyus Jones,1626145,37,75,75,13,96,0.5909090909090909,6,4,4,"Tyus Jones, Karl-Anthony Towns, Taj Gibson, Jamal Crawford, Andrew Wiggins",90,26,49,7,21,0.569620253164557,23,2017-18,MIN,13.0,10,70
400,,Tyus Jones,1626145,28,55,56,12,68,0.8571428571428571,5,2,1,"Tyus Jones, Karl-Anthony Towns, Gorgui Dieng, Jamal Crawford, Andrew Wiggins",60,18,40,3,12,0.5084745762711864,16,2017-18,MIN,16.363636363636363,7,52
405,,Karl-Anthony Towns,1626157,106,206,209,69,250,0.6388888888888888,34,12,18,"Karl-Anthony Towns, Jeff Teague, Taj Gibson, Jamal Crawford, Andrew Wiggins",253,72,132,19,47,0.6092233009708737,63,2017-18,MIN,25.12135922330097,46,179
410,,Tyus Jones,1626145,20,39,39,4,60,1.0,2,0,0,"Tyus Jones, Karl-Anthony Towns, Jimmy Butler, Shabazz Muhammad, Jamal Crawford",40,15,23,1,7,0.6060606060606061,7,2017-18,MIN,7.6923076923076925,2,30
415,,Tyus Jones,1626145,75,141,147,20,148,0.5555555555555556,12,6,0,"Tyus Jones, Karl-Anthony Towns, Nemanja Bjelica, Gorgui Dieng, Jamal Crawford",165,45,74,19,52,0.6074074074074074,21,2017-18,MIN,10.638297872340425,18,126
420,,Tyus Jones,1626145,34,69,68,16,81,0.7272727272727273,5,5,2,"Tyus Jones, Nemanja Bjelica, Jimmy Butler, Gorgui Dieng, Jamal Crawford",75,17,36,9,26,0.5357142857142857,17,2017-18,MIN,17.391304347826086,10,62
425,,Tyus Jones,1626145,125,258,268,42,291,0.525,23,13,9,"Tyus Jones, Nemanja Bjelica, Gorgui Dieng, Jamal Crawford, Andrew Wiggins",274,72,156,25,69,0.5269230769230769,72,2017-18,MIN,12.209302325581396,36,225
430,,Tyus Jones,1626145,36,74,76,9,76,0.5625,4,3,2,"Tyus Jones, Marcus Georges-Hunt, Nemanja Bjelica, Gorgui Dieng, Jamal Crawford",71,19,41,6,26,0.461038961038961,20,2017-18,MIN,9.121621621621621,7,67
435,,Jeff Teague,201952,72,148,148,49,208,0.5444444444444444,33,5,19,"Jeff Teague, Taj Gibson, Gorgui Dieng, Jamal Crawford, Andrew Wiggins",144,48,112,7,27,0.4645161290322581,38,2017-18,MIN,24.83108108108108,38,139
440,,Jeff Teague,201952,28,55,58,22,69,0.5789473684210527,9,7,8,"Jeff Teague, Taj Gibson, Nemanja Bjelica, Gorgui Dieng, Andrew Wiggins",68,22,37,5,13,0.6181818181818182,12,2017-18,MIN,30.0,16,50
445,,Karl-Anthony Towns,1626157,53,104,97,22,112,0.5789473684210527,8,7,8,"Karl-Anthony Towns, Jeff Teague, Taj Gibson, Jimmy Butler, Jamal Crawford",137,26,50,15,32,0.6732673267326733,43,2017-18,MIN,15.865384615384615,15,82
450,,Jeff Teague,201952,123,249,247,52,303,0.5777777777777777,26,12,15,"Jeff Teague, Taj Gibson, Jimmy Butler, Gorgui Dieng, Andrew Wiggins",275,91,175,14,43,0.556910569105691,64,2017-18,MIN,15.662650602409638,38,218
455,,Karl-Anthony Towns,1626157,49,94,97,27,121,0.6428571428571429,14,5,5,"Karl-Anthony Towns, Aaron Brooks, Nemanja Bjelica, Gorgui Dieng, Jamal Crawford",99,30,60,8,24,0.5380434782608695,19,2017-18,MIN,21.54255319148936,19,84
460,,Tyus Jones,1626145,39,75,71,8,76,0.4444444444444444,5,4,0,"Tyus Jones, Karl-Anthony Towns, Taj Gibson, Jimmy Butler, Jamal Crawford",79,28,47,2,20,0.5202702702702703,19,2017-18,MIN,8.0,9,67
465,,Tyus Jones,1626145,79,159,158,18,188,0.47368421052631576,9,8,5,"Tyus Jones, Nemanja Bjelica, Gorgui Dieng, Shabazz Muhammad, Jamal Crawford",168,45,82,15,46,0.5763888888888888,40,2017-18,MIN,8.49056603773585,17,128
470,,Tyus Jones,1626145,36,68,63,0,76,0.0,0,2,0,"Tyus Jones, Karl-Anthony Towns, Nemanja Bjelica, Jamal Crawford, Andrew Wiggins",91,23,45,12,20,0.65,10,2017-18,MIN,0.0,2,65
475,,Karl-Anthony Towns,1626157,35,73,73,30,103,0.7631578947368421,13,5,4,"Karl-Anthony Towns, Jeff Teague, Taj Gibson, Shabazz Muhammad, Andrew Wiggins",80,27,50,4,13,0.5486111111111112,21,2017-18,MIN,30.82191780821918,18,63
480,,Tyus Jones,1626145,24,45,48,16,55,0.7272727272727273,5,4,4,"Tyus Jones, Karl-Anthony Towns, Taj Gibson, Nemanja Bjelica, Andrew Wiggins",51,15,34,4,10,0.53125,9,2017-18,MIN,26.666666666666668,9,44
485,,Karl-Anthony Towns,1626157,38,80,79,22,96,0.7333333333333333,8,5,4,"Karl-Anthony Towns, Jeff Teague, Taj Gibson, Jimmy Butler, Andrew Wiggins",85,22,50,5,12,0.5666666666666667,27,2018-19,MIN,20.625,13,62
490,,Tyus Jones,1626145,65,134,145,29,140,0.6363636363636364,16,4,6,"Tyus Jones, Josh Okogie, Gorgui Dieng, Andrew Wiggins, Dario Saric",152,48,94,10,28,0.5592592592592592,30,2018-19,MIN,16.23134328358209,20,122
495,,Tyus Jones,1626145,96,189,192,28,194,0.6086956521739131,11,10,4,"Tyus Jones, Derrick Rose, Gorgui Dieng, Robert Covington, Dario Saric",212,65,122,18,61,0.5380710659898477,36,2018-19,MIN,11.11111111111111,21,183
500,,Karl-Anthony Towns,1626157,58,120,123,18,140,0.47368421052631576,10,8,2,"Karl-Anthony Towns, Derrick Rose, Taj Gibson, Jimmy Butler, Andrew Wiggins",141,31,68,21,42,0.597457627118644,19,2018-19,MIN,11.25,18,110
505,,Karl-Anthony Towns,1626157,28,59,60,21,69,0.6176470588235294,12,4,4,"Karl-Anthony Towns, Jeff Teague, Robert Covington, Andrew Wiggins, Dario Saric",78,22,42,5,16,0.5746268656716418,22,2018-19,MIN,26.694915254237287,16,58
510,,Tyus Jones,1626145,34,70,73,4,89,0.4,3,2,0,"Tyus Jones, Karl-Anthony Towns, Derrick Rose, Andrew Wiggins, Dario Saric",76,27,45,3,19,0.5277777777777778,19,2018-19,MIN,4.285714285714286,5,64
515,,Tyus Jones,1626145,299,628,628,94,719,0.5,58,27,17,"Tyus Jones, Karl-Anthony Towns, Josh Okogie, Andrew Wiggins, Dario Saric",715,192,364,69,202,0.5587774294670846,159,2018-19,MIN,11.226114649681529,85,566
520,,Tyus Jones,1626145,23,44,44,0,58,0.0,4,3,0,"Tyus Jones, Josh Okogie, Anthony Tolliver, Jimmy Butler, Gorgui Dieng",48,16,28,2,11,0.5581395348837209,10,2018-19,MIN,0.0,7,39
525,,Karl-Anthony Towns,1626157,20,43,38,21,41,0.5833333333333334,11,4,6,"Karl-Anthony Towns, Derrick Rose, Jeff Teague, Robert Covington, Dario Saric",48,13,26,3,15,0.5,14,2018-19,MIN,36.627906976744185,15,41
530,,Tyus Jones,1626145,41,89,88,7,98,0.3181818181818182,9,0,4,"Tyus Jones, Derrick Rose, Gorgui Dieng, Andrew Wiggins, Dario Saric",101,28,52,10,21,0.5941176470588235,25,2018-19,MIN,5.898876404494382,9,73
535,,Karl-Anthony Towns,1626157,84,175,177,59,218,0.5673076923076923,31,15,13,"Karl-Anthony Towns, Derrick Rose, Jeff Teague, Andrew Wiggins, Dario Saric",214,60,109,21,55,0.5955056179775281,36,2018-19,MIN,25.285714285714285,46,164
540,,Karl-Anthony Towns,1626157,73,150,150,73,196,0.7777777777777778,29,10,18,"Karl-Anthony Towns, Josh Okogie, Jeff Teague, Andrew Wiggins, Dario Saric",193,47,87,22,44,0.6573426573426573,36,2018-19,MIN,36.5,39,131
545,,Josh Okogie,1629006,22,45,47,12,66,0.6,5,4,3,"Josh Okogie, Jeff Teague, Taj Gibson, Gorgui Dieng, Andrew Wiggins",62,16,31,4,9,0.6326530612244898,20,2018-19,MIN,20.0,9,40
550,,Josh Okogie,1629006,40,87,89,16,110,0.5714285714285714,9,3,4,"Josh Okogie, Jeff Teague, Taj Gibson, Andrew Wiggins, Dario Saric",92,24,62,9,17,0.5054945054945055,25,2018-19,MIN,13.793103448275861,12,79
555,,Tyus Jones,1626145,23,43,43,0,59,0.0,2,0,0,"Tyus Jones, Josh Okogie, Derrick Rose, Gorgui Dieng, Dario Saric",52,16,33,6,9,0.6046511627906976,2,2018-19,MIN,0.0,2,42
560,,Karl-Anthony Towns,1626157,21,46,46,16,57,0.5357142857142857,7,4,7,"Karl-Anthony Towns, Josh Okogie, Derrick Rose, Jeff Teague, Taj Gibson",49,15,36,2,8,0.47,14,2018-19,MIN,26.08695652173913,11,44
565,,Keita Bates-Diop,1628966,47,95,95,9,115,0.6428571428571429,5,2,0,"Keita Bates-Diop, Anthony Tolliver, Jerryd Bayless, Gorgui Dieng, Andrew Wiggins",105,35,63,7,23,0.5526315789473685,22,2018-19,MIN,7.105263157894737,7,86
570,,Tyus Jones,1626145,67,132,135,17,165,0.3541666666666667,17,5,4,"Tyus Jones, Karl-Anthony Towns, Josh Okogie, Taj Gibson, Andrew Wiggins",132,41,98,10,27,0.4852941176470588,27,2018-19,MIN,9.659090909090908,22,125
575,,Tyus Jones,1626145,42,86,84,12,85,0.42857142857142855,7,7,0,"Tyus Jones, Anthony Tolliver, Derrick Rose, Jimmy Butler, Gorgui Dieng",95,23,55,12,22,0.5523255813953488,19,2018-19,MIN,10.465116279069768,14,77
580,,Tyus Jones,1626145,77,153,156,21,163,0.5526315789473685,16,2,2,"Tyus Jones, Karl-Anthony Towns, Taj Gibson, Robert Covington, Andrew Wiggins",188,56,103,15,31,0.6118421052631579,43,2018-19,MIN,10.294117647058824,18,134
585,,Keita Bates-Diop,1628966,30,61,59,11,77,0.5,7,4,0,"Keita Bates-Diop, Cameron Reynolds, Anthony Tolliver, Jerryd Bayless, Gorgui Dieng",70,14,33,11,21,0.5833333333333334,14,2018-19,MIN,13.524590163934427,11,54
590,,Tyus Jones,1626145,39,80,81,8,76,0.5714285714285714,3,3,2,"Tyus Jones, Karl-Anthony Towns, Derrick Rose, Robert Covington, Dario Saric",89,23,41,9,30,0.55625,20,2018-19,MIN,7.5,6,71
595,,Karl-Anthony Towns,1626157,20,41,42,17,50,0.7083333333333334,7,2,6,"Karl-Anthony Towns, Josh Okogie, Jeff Teague, Dario Saric, Luol Deng",57,18,31,4,9,0.6627906976744186,9,2018-19,MIN,31.097560975609756,9,40
600,,Karl-Anthony Towns,1626157,55,119,120,35,140,0.625,16,9,6,"Karl-Anthony Towns, Josh Okogie, Jeff Teague, Taj Gibson, Jimmy Butler",121,33,71,12,43,0.4838709677419355,21,2018-19,MIN,22.058823529411764,25,114
605,,Karl-Anthony Towns,1626157,127,271,273,98,314,0.7578125,43,12,21,"Karl-Anthony Towns, Derrick Rose, Jeff Teague, Taj Gibson, Andrew Wiggins",345,106,180,27,65,0.6305147058823529,62,2018-19,MIN,27.121771217712176,55,245
610,,Karl-Anthony Towns,1626157,115,253,245,73,254,0.5793650793650794,38,17,18,"Karl-Anthony Towns, Josh Okogie, Jeff Teague, Taj Gibson, Andrew Wiggins",286,78,156,26,64,0.5697211155378487,68,2018-19,MIN,21.640316205533598,55,220
615,,Karl-Anthony Towns,1626157,24,52,51,25,48,0.7352941176470589,12,3,5,"Karl-Anthony Towns, Josh Okogie, Derrick Rose, Taj Gibson, Jimmy Butler",62,18,40,4,10,0.543859649122807,15,2018-19,MIN,36.05769230769231,15,50
620,,Tyus Jones,1626145,31,62,65,11,75,0.35714285714285715,10,4,2,"Tyus Jones, Anthony Tolliver, Gorgui Dieng, Andrew Wiggins, Dario Saric",71,16,35,9,20,0.5737704918032787,14,2018-19,MIN,13.306451612903226,14,55
625,,Tyus Jones,1626145,37,75,77,17,72,0.85,9,1,0,"Tyus Jones, Josh Okogie, Gorgui Dieng, Robert Covington, Dario Saric",88,29,48,6,19,0.6027397260273972,15,2018-19,MIN,17.0,10,67
630,,Tyus Jones,1626145,26,54,52,10,57,0.625,5,3,0,"Tyus Jones, Karl-Anthony Towns, Keita Bates-Diop, Josh Okogie, Dario Saric",71,19,36,8,16,0.6339285714285714,10,2018-19,MIN,13.88888888888889,8,52
635,,Karl-Anthony Towns,1626157,230,463,461,150,487,0.625,82,28,22,"Karl-Anthony Towns, Jeff Teague, Taj Gibson, Robert Covington, Andrew Wiggins",501,133,294,55,123,0.5433839479392625,96,2018-19,MIN,24.29805615550756,110,417
640,,Karl-Anthony Towns,1626157,56,121,121,38,131,0.76,16,7,4,"Karl-Anthony Towns, Josh Okogie, Derrick Rose, Taj Gibson, Andrew Wiggins",144,50,83,9,31,0.5806451612903226,22,2018-19,MIN,23.553719008264462,23,114
645,,Karl-Anthony Towns,1626157,80,160,160,30,201,0.45454545454545453,21,8,9,"Karl-Anthony Towns, Derrick Rose, Taj Gibson, Robert Covington, Andrew Wiggins",175,53,107,14,41,0.5368098159509203,35,2018-19,MIN,14.0625,29,148
650,,Karl-Anthony Towns,1626157,87,165,164,70,216,0.7777777777777778,28,12,12,"Karl-Anthony Towns, Josh Okogie, Jerryd Bayless, Taj Gibson, Andrew Wiggins",183,62,121,11,37,0.5321637426900585,29,2018-19,MIN,31.818181818181817,40,158
655,,Tyus Jones,1626145,25,54,54,10,56,0.4166666666666667,7,5,0,"Tyus Jones, Josh Okogie, Anthony Tolliver, Derrick Rose, Gorgui Dieng",52,18,32,4,18,0.4811320754716981,8,2018-19,MIN,13.88888888888889,12,50
660,,Karl-Anthony Towns,1626157,77,163,168,54,205,0.6794871794871795,22,13,12,"Karl-Anthony Towns, Josh Okogie, Robert Covington, Shabazz Napier, Andrew Wiggins",174,42,70,19,65,0.5657894736842105,43,2019-20,MIN,24.846625766871167,35,135
665,,Karl-Anthony Towns,1626157,106,221,214,99,263,0.6533333333333333,41,28,19,"Karl-Anthony Towns, Jarrett Culver, Robert Covington, Shabazz Napier, Andrew Wiggins",266,59,106,37,96,0.6050228310502284,45,2019-20,MIN,33.5972850678733,69,202
670,,Karl-Anthony Towns,1626157,72,150,150,46,184,0.575,19,19,7,"Karl-Anthony Towns, Treveon Graham, Jeff Teague, Robert Covington, Andrew Wiggins",167,43,78,18,60,0.5460526315789473,33,2019-20,MIN,23.0,38,138
675,,Karl-Anthony Towns,1626157,21,45,43,8,48,0.4,4,6,0,"Karl-Anthony Towns, Treveon Graham, Josh Okogie, Robert Covington, Andrew Wiggins",53,13,26,6,18,0.5408163265306123,10,2019-20,MIN,13.333333333333334,10,44
680,,Karl-Anthony Towns,1626157,75,158,157,60,168,0.5769230769230769,22,25,11,"Karl-Anthony Towns, Treveon Graham, Jarrett Culver, Robert Covington, Andrew Wiggins",186,50,90,18,58,0.5602409638554217,40,2019-20,MIN,28.481012658227847,47,148
685,,D'Angelo Russell,1626156,127,275,274,96,319,0.5783132530120482,43,36,8,"D'Angelo Russell, Malik Beasley, Juancho Hernangomez, Josh Okogie, Naz Reid",300,73,146,43,105,0.5617977528089888,37,2019-20,MIN,26.181818181818183,79,251
690,,Jarrett Culver,1629633,101,210,212,35,229,0.5833333333333334,24,5,4,"Jarrett Culver, Gorgui Dieng, Robert Covington, Shabazz Napier, Andrew Wiggins",243,57,106,34,85,0.5817307692307693,37,2019-20,MIN,12.5,29,191
695,,Karl-Anthony Towns,1626157,57,124,123,52,178,0.5930232558139535,22,14,17,"Karl-Anthony Towns, Josh Okogie, Jarrett Culver, Robert Covington, Andrew Wiggins",150,36,66,17,46,0.596,34,2019-20,MIN,31.451612903225808,36,112
700,,Karl-Anthony Towns,1626157,45,96,98,41,109,0.7592592592592593,12,8,19,"Karl-Anthony Towns, Josh Okogie, Jeff Teague, Robert Covington, Andrew Wiggins",129,29,47,15,41,0.6386138613861386,33,2019-20,MIN,32.03125,20,88
705,,Treveon Graham,1626203,34,68,67,5,75,0.4166666666666667,2,4,0,"Treveon Graham, Jeff Teague, Gorgui Dieng, Robert Covington, Andrew Wiggins",69,17,34,6,23,0.53125,17,2019-20,MIN,5.514705882352941,6,57
710,,Josh Okogie,1629006,66,145,140,15,149,0.375,13,6,3,"Josh Okogie, Gorgui Dieng, Robert Covington, Shabazz Napier, Andrew Wiggins",141,33,73,20,60,0.4895833333333333,26,2019-20,MIN,7.758620689655173,19,133
715,,Karl-Anthony Towns,1626157,21,45,46,20,51,0.8333333333333334,6,6,0,"Karl-Anthony Towns, Treveon Graham, Jake Layman, Jeff Teague, Robert Covington",54,13,23,7,15,0.6585365853658537,7,2019-20,MIN,33.333333333333336,12,38
720,,Malik Beasley,1627736,22,47,47,11,59,0.4583333333333333,6,6,0,"Malik Beasley, Juancho Hernangomez, Josh Okogie, Jordan McLaughlin, James Johnson",49,15,24,6,16,0.5833333333333334,4,2019-20,MIN,17.5531914893617,12,40
725,,Malik Beasley,1627736,21,46,44,7,44,0.5833333333333334,4,2,0,"Malik Beasley, Juancho Hernangomez, Josh Okogie, Jordan McLaughlin, Naz Reid",52,13,25,7,13,0.65,6,2019-20,MIN,11.41304347826087,6,38
730,,Jake Layman,1627774,28,65,66,13,56,0.5416666666666666,7,5,0,"Jake Layman, Josh Okogie, Jarrett Culver, Shabazz Napier, Noah Vonleh",63,13,26,7,28,0.484375,24,2019-20,MIN,15.0,12,54
735,,Kelan Martin,1629103,53,110,109,15,99,0.4411764705882353,8,8,3,"Kelan Martin, Jarrett Culver, Gorgui Dieng, Robert Covington, Shabazz Napier",123,31,58,16,45,0.5590909090909091,16,2019-20,MIN,10.227272727272727,16,103
740,,D'Angelo Russell,1626156,63,138,140,33,175,0.4583333333333333,13,19,10,"D'Angelo Russell, Malik Beasley, Juancho Hernangomez, Josh Okogie, James Johnson",154,34,67,20,56,0.5620437956204379,33,2019-20,MIN,17.934782608695652,32,123
745,,Josh Okogie,1629006,32,66,66,6,51,0.3333333333333333,4,4,2,"Josh Okogie, Jeff Teague, Gorgui Dieng, Robert Covington, Andrew Wiggins",68,17,32,9,28,0.5230769230769231,12,2019-20,MIN,6.818181818181818,8,60
750,,D'Angelo Russell,1626156,48,101,98,37,119,0.5285714285714286,17,14,9,"D'Angelo Russell, Malik Beasley, Josh Okogie, Anthony Edwards, Ed Davis",113,22,51,18,44,0.553921568627451,19,2020-21,MIN,27.475247524752476,31,95
755,,Karl-Anthony Towns,1626157,30,59,60,31,79,0.7142857142857143,8,6,16,"Karl-Anthony Towns, Juancho Hernangomez, Josh Okogie, Anthony Edwards, Ricky Rubio",80,16,25,7,17,0.6929824561403509,36,2020-21,MIN,39.40677966101695,14,42
760,,Karl-Anthony Towns,1626157,48,97,98,28,126,0.6363636363636364,14,7,2,"Karl-Anthony Towns, Malik Beasley, Josh Okogie, Anthony Edwards, Ricky Rubio",106,28,53,13,42,0.5247524752475248,13,2020-21,MIN,21.649484536082475,21,95
765,,D'Angelo Russell,1626156,71,148,155,53,160,0.6891891891891891,15,21,5,"D'Angelo Russell, Karl-Anthony Towns, Josh Okogie, Anthony Edwards, Jaden McDaniels",178,36,62,28,62,0.650375939849624,26,2020-21,MIN,26.85810810810811,36,124
770,,D'Angelo Russell,1626156,26,55,53,17,66,0.47058823529411764,8,6,7,"D'Angelo Russell, Karl-Anthony Towns, Naz Reid, Anthony Edwards, Ricky Rubio",59,12,25,7,20,0.5471698113207547,19,2020-21,MIN,23.181818181818183,14,45
775,,D'Angelo Russell,1626156,23,45,45,15,61,0.625,4,8,0,"D'Angelo Russell, Karl-Anthony Towns, Jarred Vanderbilt, Anthony Edwards, Jaden McDaniels",75,13,21,12,23,0.7352941176470589,16,2020-21,MIN,25.0,12,44
780,,Jordan McLaughlin,1629162,20,45,39,12,35,0.6666666666666666,6,3,0,"Jordan McLaughlin, Jarrett Culver, Anthony Edwards, Jaden McDaniels, Ed Davis",55,14,25,6,15,0.625,9,2020-21,MIN,20.0,9,40
785,,Josh Okogie,1629006,27,58,56,8,77,0.6666666666666666,3,1,5,"Josh Okogie, Naz Reid, Anthony Edwards, Jaden McDaniels, Ricky Rubio",43,12,29,4,19,0.39814814814814814,13,2020-21,MIN,10.344827586206897,4,48
790,,Karl-Anthony Towns,1626157,50,100,102,44,126,0.5657894736842105,25,12,5,"Karl-Anthony Towns, Jarred Vanderbilt, Anthony Edwards, Jaden McDaniels, Ricky Rubio",107,29,61,13,37,0.5097087378640777,15,2020-21,MIN,33.0,37,98
795,,D'Angelo Russell,1626156,22,43,43,14,47,0.5833333333333334,3,7,4,"D'Angelo Russell, Jarrett Culver, Anthony Edwards, Jaden McDaniels, Ed Davis",38,8,26,6,15,0.4222222222222222,8,2020-21,MIN,24.41860465116279,10,41
800,,Malik Beasley,1627736,47,98,99,30,113,0.48333333333333334,14,15,3,"Malik Beasley, Josh Okogie, Jarred Vanderbilt, Naz Reid, Ricky Rubio",105,33,64,6,29,0.49523809523809526,25,2020-21,MIN,22.959183673469386,29,93
805,,Karl-Anthony Towns,1626157,30,67,69,27,77,0.75,7,9,5,"Karl-Anthony Towns, Jake Layman, Anthony Edwards, Jaden McDaniels, Ricky Rubio",77,21,34,7,28,0.55,18,2020-21,MIN,30.223880597014926,16,62
